Lithology,Sample,Rock,Angle_deg,k_max,NoFailure_pts,Tensile_pts,Shear_pts,Mixed_pts,FailedTotal_pts,AllValid_pts,MixedFraction_failed
Augen gneiss,1,Augen Gneiss,0.0,0.1,38,3374,0,528,3902,3940,0.1353152229625833
Augen gneiss,1,Augen Gneiss,0.0,0.175,38,3374,0,528,3902,3940,0.1353152229625833
Augen gneiss,1,Augen Gneiss,0.0,0.25,38,3374,0,528,3902,3940,0.1353152229625833
Augen gneiss,1,Augen Gneiss,0.0,0.32499999999999996,38,3374,0,528,3902,3940,0.1353152229625833
Augen gneiss,1,Augen Gneiss,0.0,0.4,38,3374,0,528,3902,3940,0.1353152229625833
Augen gneiss,1,Augen Gneiss,0.0,0.475,38,3374,0,528,3902,3940,0.1353152229625833
Augen gneiss,1,Augen Gneiss,0.0,0.5499999999999999,38,3374,0,528,3902,3940,0.1353152229625833
Augen gneiss,1,Augen Gneiss,0.0,0.625,36,3374,2,528,3904,3940,0.13524590163934427
Augen gneiss,1,Augen Gneiss,0.0,0.7,34,3374,4,528,3906,3940,0.13517665130568357
Augen gneiss,2,Augen Gneiss,15.0,0.1,40,3403,0,497,3900,3940,0.12743589743589745
Augen gneiss,2,Augen Gneiss,15.0,0.175,40,3403,0,497,3900,3940,0.12743589743589745
Augen gneiss,2,Augen Gneiss,15.0,0.25,40,3403,0,497,3900,3940,0.12743589743589745
Augen gneiss,2,Augen Gneiss,15.0,0.32499999999999996,40,3403,0,497,3900,3940,0.12743589743589745
Augen gneiss,2,Augen Gneiss,15.0,0.4,40,3403,0,497,3900,3940,0.12743589743589745
Augen gneiss,2,Augen Gneiss,15.0,0.475,40,3403,0,497,3900,3940,0.12743589743589745
Augen gneiss,2,Augen Gneiss,15.0,0.5499999999999999,40,3403,0,497,3900,3940,0.12743589743589745
Augen gneiss,2,Augen Gneiss,15.0,0.625,38,3403,2,497,3902,3940,0.1273705791901589
Augen gneiss,2,Augen Gneiss,15.0,0.7,33,3403,7,497,3907,3940,0.12720757614538009
Augen gneiss,3,Augen Gneiss,30.0,0.1,49,3622,0,269,3891,3940,0.06913389874068362
Augen gneiss,3,Augen Gneiss,30.0,0.175,49,3622,0,269,3891,3940,0.06913389874068362
Augen gneiss,3,Augen Gneiss,30.0,0.25,49,3622,0,269,3891,3940,0.06913389874068362
Augen gneiss,3,Augen Gneiss,30.0,0.32499999999999996,48,3622,1,269,3892,3940,0.06911613566289826
Augen gneiss,3,Augen Gneiss,30.0,0.4,45,3622,4,269,3895,3940,0.06906290115532734
Augen gneiss,3,Augen Gneiss,30.0,0.475,42,3622,7,269,3898,3940,0.06900974858902001
Augen gneiss,3,Augen Gneiss,30.0,0.5499999999999999,38,3622,11,269,3902,3940,0.06893900563813429
Augen gneiss,3,Augen Gneiss,30.0,0.625,31,3622,18,269,3909,3940,0.06881555385008954
Augen gneiss,3,Augen Gneiss,30.0,0.7,28,3622,21,269,3912,3940,0.06876278118609407
Augen gneiss,4,Augen Gneiss,45.0,0.1,57,3481,0,402,3883,3940,0.1035281998454803
Augen gneiss,4,Augen Gneiss,45.0,0.175,57,3481,0,402,3883,3940,0.1035281998454803
Augen gneiss,4,Augen Gneiss,45.0,0.25,57,3481,0,402,3883,3940,0.1035281998454803
Augen gneiss,4,Augen Gneiss,45.0,0.32499999999999996,55,3481,2,402,3885,3940,0.10347490347490347
Augen gneiss,4,Augen Gneiss,45.0,0.4,52,3481,5,402,3888,3940,0.10339506172839506
Augen gneiss,4,Augen Gneiss,45.0,0.475,50,3481,7,402,3890,3940,0.10334190231362468
Augen gneiss,4,Augen Gneiss,45.0,0.5499999999999999,44,3481,13,402,3896,3940,0.10318275154004107
Augen gneiss,4,Augen Gneiss,45.0,0.625,39,3481,18,402,3901,3940,0.10305049987182774
Augen gneiss,4,Augen Gneiss,45.0,0.7,36,3481,21,402,3904,3940,0.10297131147540983
Augen gneiss,5,Augen Gneiss,60.0,0.1,55,3695,2,188,3885,3940,0.04839124839124839
Augen gneiss,5,Augen Gneiss,60.0,0.175,55,3695,2,188,3885,3940,0.04839124839124839
Augen gneiss,5,Augen Gneiss,60.0,0.25,55,3695,2,188,3885,3940,0.04839124839124839
Augen gneiss,5,Augen Gneiss,60.0,0.32499999999999996,54,3695,3,188,3886,3940,0.048378795676788475
Augen gneiss,5,Augen Gneiss,60.0,0.4,53,3695,4,188,3887,3940,0.04836634936969385
Augen gneiss,5,Augen Gneiss,60.0,0.475,50,3695,7,188,3890,3940,0.04832904884318766
Augen gneiss,5,Augen Gneiss,60.0,0.5499999999999999,40,3695,17,188,3900,3940,0.048205128205128206
Augen gneiss,5,Augen Gneiss,60.0,0.625,35,3695,22,188,3905,3940,0.04814340588988476
Augen gneiss,5,Augen Gneiss,60.0,0.7,30,3695,27,188,3910,3940,0.04808184143222506
Augen gneiss,6,Augen Gneiss,75.0,0.1,154,3716,0,70,3786,3940,0.018489170628631802
Augen gneiss,6,Augen Gneiss,75.0,0.175,154,3714,0,72,3786,3940,0.01901743264659271
Augen gneiss,6,Augen Gneiss,75.0,0.25,154,3711,0,75,3786,3940,0.019809825673534072
Augen gneiss,6,Augen Gneiss,75.0,0.32499999999999996,154,3710,0,76,3786,3940,0.020073956682514528
Augen gneiss,6,Augen Gneiss,75.0,0.4,154,3709,0,77,3786,3940,0.02033808769149498
Augen gneiss,6,Augen Gneiss,75.0,0.475,152,3709,2,77,3788,3940,0.020327349524815207
Augen gneiss,6,Augen Gneiss,75.0,0.5499999999999999,149,3709,5,77,3791,3940,0.020311263518860458
Augen gneiss,6,Augen Gneiss,75.0,0.625,146,3709,8,77,3794,3940,0.02029520295202952
Augen gneiss,6,Augen Gneiss,75.0,0.7,142,3709,12,77,3798,3940,0.020273828330700367
