quantity,value,units,sample_count,data_source,script_or_cell,status,notes,generated_in,lithology
fracture_orientation_MAE,6.65,deg,14,crack_digitized_data/*.csv + ddm_fields/ddm_crack_sample_*.csv,revision_outputs/scripts/trace_validation.py,computed,"central fit fraction 0.5 of disc radius; axial error in [0,90]",session_2_20260807,
fracture_orientation_RMSE,7.63,deg,14,crack_digitized_data/*.csv + ddm_fields/ddm_crack_sample_*.csv,revision_outputs/scripts/trace_validation.py,computed,,session_2_20260807,
fracture_orientation_median_abs_error,6.62,deg,14,crack_digitized_data/*.csv + ddm_fields/ddm_crack_sample_*.csv,revision_outputs/scripts/trace_validation.py,computed,,session_2_20260807,
fracture_orientation_max_abs_error,12.68,deg,14,crack_digitized_data/*.csv + ddm_fields/ddm_crack_sample_*.csv,revision_outputs/scripts/trace_validation.py,computed,,session_2_20260807,
fracture_orientation_count_within_5deg,5,specimens,14,crack_digitized_data/*.csv + ddm_fields/ddm_crack_sample_*.csv,revision_outputs/scripts/trace_validation.py,computed,,session_2_20260807,
fracture_orientation_pct_within_5deg,35.7,%,14,crack_digitized_data/*.csv + ddm_fields/ddm_crack_sample_*.csv,revision_outputs/scripts/trace_validation.py,computed,REPLACES the withdrawn '+/-5 deg agreement' claim,session_2_20260807,
fracture_orientation_count_within_10deg,11,specimens,14,crack_digitized_data/*.csv + ddm_fields/ddm_crack_sample_*.csv,revision_outputs/scripts/trace_validation.py,computed,,session_2_20260807,
fracture_orientation_pct_within_10deg,78.6,%,14,crack_digitized_data/*.csv + ddm_fields/ddm_crack_sample_*.csv,revision_outputs/scripts/trace_validation.py,computed,,session_2_20260807,
observed_orientation_range_min,77.1,deg,14,crack_digitized_data/*.csv + ddm_fields/ddm_crack_sample_*.csv,revision_outputs/scripts/trace_validation.py,computed,,session_2_20260807,
observed_orientation_range_max,102.6,deg,14,crack_digitized_data/*.csv + ddm_fields/ddm_crack_sample_*.csv,revision_outputs/scripts/trace_validation.py,computed,,session_2_20260807,
predicted_orientation_range_min,85.9,deg,14,crack_digitized_data/*.csv + ddm_fields/ddm_crack_sample_*.csv,revision_outputs/scripts/trace_validation.py,computed,,session_2_20260807,
