sample_id,rock,angle_deg,R_m,stop_reason,nsteps,Gc0
1,Augen gneiss,0.0,0.025500000000000002,reached_boundary,151,1.0
2,Augen gneiss,15.0,0.025500000000000002,reached_boundary,106,1.0
3,Augen gneiss,30.0,0.025500000000000002,reached_boundary,109,1.0
4,Augen gneiss,45.0,0.025500000000000002,reached_boundary,103,1.0
5,Augen gneiss,60.0,0.025500000000000002,reached_boundary,99,1.0
6,Augen gneiss,75.0,0.025500000000000002,reached_boundary,98,1.0
7,Augen gneiss,90.0,0.025500000000000002,reached_boundary,96,1.0
8,Psammitic schist,0.0,0.0255,reached_boundary,116,1.0
9,Psammitic schist,15.0,0.0255,reached_boundary,115,1.0
10,Psammitic schist,30.0,0.0255,reached_boundary,122,1.0
11,Psammitic schist,45.0,0.0255,reached_boundary,104,1.0
12,Psammitic schist,60.0,0.0255,reached_boundary,102,1.0
13,Psammitic schist,75.0,0.0255,reached_boundary,98,1.0
14,Psammitic schist,90.0,0.0255,reached_boundary,96,1.0
