sample_id,rock_type,angle_deg,old_label,new_primary_mode,locus,mechanism,n_points,frac_of_specimen,frac_of_old_label,mixed_flag,mixed_flag_frac,secondary_descriptor,ambiguous,mapping_rule,source,granularity
1,Augen Gneiss,0.0,tensile,WT,weak_plane,tensile,10433,0.5345596146948813,0.9804529649469035,False,0.0036422888910188824,MS-WT,True,"old='tensile' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='WT': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
1,Augen Gneiss,0.0,tensile,MT,matrix,tensile,208,0.010657375621253266,0.019547035053096514,False,0.07692307692307693,MT-WT,True,"old='tensile' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='MT': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
1,Augen Gneiss,0.0,shear,WS,weak_plane,shear,32,0.0016395962494235793,0.013490725126475547,False,0.25,MS-WS,True,"old='shear' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='WS': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
1,Augen Gneiss,0.0,shear,MS,matrix,shear,2280,0.11682123277143004,0.9612141652613828,False,0.0017543859649122807,MS-WT,True,"old='shear' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='MS': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
1,Augen Gneiss,0.0,shear,no_failure,none,none,60,0.0030742429676692113,0.025295109612141653,False,0.0,MS-WS,True,"old='shear' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='no_failure': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
1,Augen Gneiss,0.0,mixed,WT,weak_plane,tensile,1372,0.07029768919403596,0.5036710719530103,False,0.3717201166180758,MS-WT,True,"old='mixed' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='WT': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
1,Augen Gneiss,0.0,mixed,MS,matrix,shear,1352,0.06927294153814623,0.49632892804698975,False,0.40088757396449703,MS-WT,True,"old='mixed' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='MS': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
1,Augen Gneiss,0.0,no_failure,no_failure,none,none,3780,0.19367730696316032,1.0,False,0.0,MS-WT,False,old='no_failure' -> new='no_failure'; both classifiers agree the point-wise utility stays below util_min on the same stress state,cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
2,Augen Gneiss,15.0,tensile,WT,weak_plane,tensile,9623,0.49305733463134704,0.985862104292593,False,0.003117530915514912,MS-WT,True,"old='tensile' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='WT': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
2,Augen Gneiss,15.0,tensile,MT,matrix,tensile,138,0.007070758825639186,0.014137895707407028,False,0.15942028985507245,MT-WT,True,"old='tensile' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='MT': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
2,Augen Gneiss,15.0,shear,WS,weak_plane,shear,6,0.00030742429676692114,0.0023715415019762848,False,0.3333333333333333,MS-WS,True,"old='shear' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='WS': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
2,Augen Gneiss,15.0,shear,MS,matrix,shear,2484,0.12727365886150535,0.9818181818181818,False,0.0024154589371980675,MS-WT,True,"old='shear' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='MS': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
2,Augen Gneiss,15.0,shear,no_failure,none,none,40,0.0020494953117794743,0.015810276679841896,False,0.0,MS-WS,True,"old='shear' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='no_failure': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
2,Augen Gneiss,15.0,mixed,WT,weak_plane,tensile,1314,0.06732592099195574,0.49250374812593706,False,0.4185692541856925,MS-WT,True,"old='mixed' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='WT': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
2,Augen Gneiss,15.0,mixed,MS,matrix,shear,1354,0.0693754163037352,0.507496251874063,False,0.4076809453471196,MS-WT,True,"old='mixed' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='MS': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
2,Augen Gneiss,15.0,no_failure,no_failure,none,none,4558,0.23353999077727108,1.0,False,0.0,MS-WT,False,old='no_failure' -> new='no_failure'; both classifiers agree the point-wise utility stays below util_min on the same stress state,cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
