sample_id,rock_type,angle_deg,old_label,new_primary_mode,locus,mechanism,n_points,frac_of_specimen,frac_of_old_label,mixed_flag,mixed_flag_frac,secondary_descriptor,ambiguous,mapping_rule,source,granularity
8,Psammitic schist,0.0,shear,WS,weak_plane,shear,144,0.007378183122406108,0.036885245901639344,False,0.3888888888888889,MS-WS,True,"old='shear' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='WS': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
8,Psammitic schist,0.0,shear,MS,matrix,shear,3068,0.15719629041348568,0.7858606557377049,False,0.020860495436766623,MS-MT,True,"old='shear' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='MS': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
8,Psammitic schist,0.0,shear,no_failure,none,none,692,0.035456268893784906,0.17725409836065573,False,0.0,MS-WS,True,"old='shear' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='no_failure': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
8,Psammitic schist,0.0,mixed,MS,matrix,shear,5561,0.2849310857201414,1.0,False,0.3515554756338788,MS-MT,True,"old='mixed' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='MS': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
8,Psammitic schist,0.0,no_failure,no_failure,none,none,10052,0.5150381718501819,1.0,False,0.0,MS-MT,False,old='no_failure' -> new='no_failure'; both classifiers agree the point-wise utility stays below util_min on the same stress state,cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
9,Psammitic schist,15.0,shear,WS,weak_plane,shear,210,0.01075985038684224,0.06529850746268656,False,0.42857142857142855,MS-WS,True,"old='shear' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='WS': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
9,Psammitic schist,15.0,shear,MS,matrix,shear,2230,0.11425936363170569,0.693407960199005,False,0.03766816143497758,MS-MT,True,"old='shear' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='MS': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
9,Psammitic schist,15.0,shear,no_failure,none,none,776,0.0397602090485218,0.24129353233830847,False,0.0,MS-WS,True,"old='shear' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='no_failure': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
9,Psammitic schist,15.0,mixed,MT,matrix,tensile,195,0.009991289644924937,0.037608486017357765,True,1.0,MS-MT,True,"old='mixed' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='MT': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
9,Psammitic schist,15.0,mixed,MS,matrix,shear,4966,0.25444484295742176,0.9577627772420444,True,0.7108336689488522,MS-MT,True,"old='mixed' (mechanism-only; legacy classifier collapsed locus via max(R_mat, R_wp) before labeling) -> new='MS': locus/mechanism resolved directly from the same underlying stress state by failure_mode_map_4class; old label alone was locus-ambiguous",cell38_production_grid,per-specimen aggregate over grid points with r<=0.985R
