sample_id,rock,angle_deg,n_boundary,rel_error
1,Augen gneiss,0.0,105,0.0016369537821592727
1,Augen gneiss,0.0,210,0.0003785049382814591
1,Augen gneiss,0.0,420,0.00010204559862394112
1,Augen gneiss,0.0,480,0.000759299198691115
1,Augen gneiss,0.0,840,3.786264033325003e-05
2,Augen gneiss,15.0,105,0.002322245268111746
2,Augen gneiss,15.0,210,0.0002836561174331406
2,Augen gneiss,15.0,420,0.00013663202220563325
2,Augen gneiss,15.0,480,0.0008206783747130683
2,Augen gneiss,15.0,840,4.132500580508062e-05
3,Augen gneiss,30.0,105,0.0027953850370386734
3,Augen gneiss,30.0,210,0.00015117145431745098
3,Augen gneiss,30.0,420,0.00012410574522248025
3,Augen gneiss,30.0,480,0.0009329617076529249
3,Augen gneiss,30.0,840,4.517888745255803e-05
4,Augen gneiss,45.0,105,0.0021422843384415664
4,Augen gneiss,45.0,210,0.00038402734425351556
4,Augen gneiss,45.0,420,0.00015900987065627515
4,Augen gneiss,45.0,480,0.0010307697093504794
4,Augen gneiss,45.0,840,4.953054579982072e-05
5,Augen gneiss,60.0,105,0.0018718349577543127
5,Augen gneiss,60.0,210,0.0004759391111988928
5,Augen gneiss,60.0,420,0.00012730637560812651
5,Augen gneiss,60.0,480,0.0010255046618290237
5,Augen gneiss,60.0,840,4.5535490166148925e-05
6,Augen gneiss,75.0,105,0.002809226235098079
6,Augen gneiss,75.0,210,0.00033209778732034857
6,Augen gneiss,75.0,420,0.00014539703001091678
6,Augen gneiss,75.0,480,0.0009718570667258602
6,Augen gneiss,75.0,840,4.302371464401029e-05
7,Augen gneiss,90.0,105,0.002660293638329688
7,Augen gneiss,90.0,210,0.00014611459325389244
7,Augen gneiss,90.0,420,0.00011767712402191599
7,Augen gneiss,90.0,480,0.0009542156585191062
7,Augen gneiss,90.0,840,4.2398288351699786e-05
8,Psammitic schist,0.0,105,0.001510341144582513
8,Psammitic schist,0.0,210,0.00035116149334152156
8,Psammitic schist,0.0,420,9.609918857791183e-05
8,Psammitic schist,0.0,480,0.0007279088934863635
8,Psammitic schist,0.0,840,3.564013785434368e-05
9,Psammitic schist,15.0,105,0.0024708700621316484
9,Psammitic schist,15.0,210,0.0002958830400197167
9,Psammitic schist,15.0,420,0.00014280821696366312
9,Psammitic schist,15.0,480,0.0008327203628806456
9,Psammitic schist,15.0,840,4.316204682958242e-05
10,Psammitic schist,30.0,105,0.0029764631984277516
10,Psammitic schist,30.0,210,0.00014772296706691662
10,Psammitic schist,30.0,420,0.0001266737713285906
10,Psammitic schist,30.0,480,0.000914697939318625
10,Psammitic schist,30.0,840,4.617217383778258e-05
11,Psammitic schist,45.0,105,0.0018985793972573258
11,Psammitic schist,45.0,210,0.00040473135691065606
11,Psammitic schist,45.0,420,0.00016205743423132512
11,Psammitic schist,45.0,480,0.0010492294722857813
11,Psammitic schist,45.0,840,5.0792798531911335e-05
12,Psammitic schist,60.0,105,0.002176921427540055
12,Psammitic schist,60.0,210,0.0004742183201687304
12,Psammitic schist,60.0,420,0.00012449970698372962
12,Psammitic schist,60.0,480,0.0011457550330439975
12,Psammitic schist,60.0,840,4.4100329114964666e-05
13,Psammitic schist,75.0,105,0.0032393082305196335
13,Psammitic schist,75.0,210,0.00035831620318098556
13,Psammitic schist,75.0,420,0.00015317115225066795
13,Psammitic schist,75.0,480,0.0010937012995290932
13,Psammitic schist,75.0,840,4.578954397067582e-05
14,Psammitic schist,90.0,105,0.002857265738577916
14,Psammitic schist,90.0,210,0.00015490589612344164
14,Psammitic schist,90.0,420,0.00012176843030998058
14,Psammitic schist,90.0,480,0.0010177443974123438
14,Psammitic schist,90.0,840,4.3458396566509994e-05
