sample_id,rock,n_interior,area_fraction
1,Augen gneiss,1257,0.07239459029435164
1,Augen gneiss,2821,0.0705423608649415
1,Augen gneiss,5025,0.07144278606965174
1,Augen gneiss,11289,0.07183984409602268
1,Augen gneiss,20081,0.07165977789950699
1,Augen gneiss,31417,0.07164910717127669
2,Augen gneiss,1257,0.05171042163882259
2,Augen gneiss,2821,0.0499822757887274
2,Augen gneiss,5025,0.0527363184079602
2,Augen gneiss,11289,0.051643192488262914
2,Augen gneiss,20081,0.05203924107365171
2,Augen gneiss,31417,0.05210554795174587
3,Augen gneiss,1257,0.0
3,Augen gneiss,2821,0.0
3,Augen gneiss,5025,0.0
3,Augen gneiss,11289,0.0
3,Augen gneiss,20081,0.0
3,Augen gneiss,31417,0.0
4,Augen gneiss,1257,0.0
4,Augen gneiss,2821,0.0
4,Augen gneiss,5025,0.0
4,Augen gneiss,11289,0.0
4,Augen gneiss,20081,0.0
4,Augen gneiss,31417,0.0
5,Augen gneiss,1257,0.0
5,Augen gneiss,2821,0.0
5,Augen gneiss,5025,0.0
5,Augen gneiss,11289,0.0
5,Augen gneiss,20081,0.0
5,Augen gneiss,31417,0.0
6,Augen gneiss,1257,0.0
6,Augen gneiss,2821,0.0
6,Augen gneiss,5025,0.0
6,Augen gneiss,11289,0.0
6,Augen gneiss,20081,0.0
6,Augen gneiss,31417,0.0
7,Augen gneiss,1257,0.0
7,Augen gneiss,2821,0.0
7,Augen gneiss,5025,0.0
7,Augen gneiss,11289,0.0
7,Augen gneiss,20081,0.0
7,Augen gneiss,31417,0.0
8,Psammitic schist,1257,0.0
8,Psammitic schist,2821,0.0
8,Psammitic schist,5025,0.0
8,Psammitic schist,11289,0.0
8,Psammitic schist,20081,0.0
8,Psammitic schist,31417,0.0
9,Psammitic schist,1257,0.0
9,Psammitic schist,2821,0.0
9,Psammitic schist,5025,0.0
9,Psammitic schist,11289,0.0
9,Psammitic schist,20081,0.0
9,Psammitic schist,31417,0.0
10,Psammitic schist,1257,0.0
10,Psammitic schist,2821,0.0
10,Psammitic schist,5025,0.0
10,Psammitic schist,11289,0.0
10,Psammitic schist,20081,0.0
10,Psammitic schist,31417,0.0
11,Psammitic schist,1257,0.0
11,Psammitic schist,2821,0.0
11,Psammitic schist,5025,0.0
11,Psammitic schist,11289,0.0
11,Psammitic schist,20081,0.0
11,Psammitic schist,31417,0.0
12,Psammitic schist,1257,0.0
12,Psammitic schist,2821,0.0
12,Psammitic schist,5025,0.0
12,Psammitic schist,11289,0.0
12,Psammitic schist,20081,0.0
12,Psammitic schist,31417,0.0
13,Psammitic schist,1257,0.0
13,Psammitic schist,2821,0.0
13,Psammitic schist,5025,0.0
13,Psammitic schist,11289,0.0
13,Psammitic schist,20081,0.0
13,Psammitic schist,31417,0.0
14,Psammitic schist,1257,0.0
14,Psammitic schist,2821,0.0
14,Psammitic schist,5025,0.0
14,Psammitic schist,11289,0.0
14,Psammitic schist,20081,0.0
14,Psammitic schist,31417,0.0
