sample_id,rock,angle_deg,series_order,rel_error,rel_error_core,core_frac,boundary_residual_rel
1,Augen gneiss,0.0,16,0.2052825087900804,0.3765601521942309,0.85,0.1473547051565552
1,Augen gneiss,0.0,24,0.25451757099910466,0.2076099325356577,0.85,0.0662461468816033
1,Augen gneiss,0.0,32,0.08514205694764677,0.051778510264139425,0.85,0.03605637972551147
1,Augen gneiss,0.0,40,0.06876369882337803,0.012996013739427483,0.85,0.023561203817410045
1,Augen gneiss,0.0,48,0.020276802613874313,0.0025555247924728447,0.85,0.006272933327847235
1,Augen gneiss,0.0,56,0.009983546518000617,0.002117429481720622,0.85,0.005416497544369905
1,Augen gneiss,0.0,64,0.011206164860742388,0.0038626646158506843,0.85,0.004983696888331957
1,Augen gneiss,0.0,80,0.00591541636864395,0.00027998359499509993,0.85,0.0025949732303563087
2,Augen gneiss,15.0,16,0.21790377196464109,0.38651877466144413,0.85,0.1473547051565551
2,Augen gneiss,15.0,24,0.261608049972114,0.21650805216668198,0.85,0.06624614688160334
2,Augen gneiss,15.0,32,0.09082814770735588,0.052557235538203774,0.85,0.036056379725511456
2,Augen gneiss,15.0,40,0.0697553189592924,0.014685287457169134,0.85,0.023561203817410007
2,Augen gneiss,15.0,48,0.020938108232762,0.0025864330794605423,0.85,0.006272933327847263
2,Augen gneiss,15.0,56,0.010221852408450763,0.0020511753663923363,0.85,0.005416497544369796
2,Augen gneiss,15.0,64,0.011670012970568293,0.0039211900537175414,0.85,0.004983696888332892
2,Augen gneiss,15.0,80,0.006173014653057175,0.00031778840898820295,0.85,0.002594974907776931
3,Augen gneiss,30.0,16,0.2268347867028504,0.39405466053649696,0.85,0.14735470515655516
3,Augen gneiss,30.0,24,0.26910733748980353,0.21989290104931278,0.85,0.06624614688160332
3,Augen gneiss,30.0,32,0.0958913577440486,0.05233902155061099,0.85,0.036056379725511414
3,Augen gneiss,30.0,40,0.0711331305061318,0.015095487234330426,0.85,0.02356120381740979
3,Augen gneiss,30.0,48,0.02161053247799446,0.00264482744255754,0.85,0.006272933327847112
3,Augen gneiss,30.0,56,0.01052689419680031,0.0019292674012807542,0.85,0.005416497544370697
3,Augen gneiss,30.0,64,0.011904250913374501,0.003844308369677562,0.85,0.004983696888330837
3,Augen gneiss,30.0,80,0.005906227579216159,0.0003376755923729142,0.85,0.0025949990218650577
4,Augen gneiss,45.0,16,0.2320102758960649,0.38685536951267246,0.85,0.14735470515655516
4,Augen gneiss,45.0,24,0.2761692597350704,0.21527334721146021,0.85,0.06624614688160337
4,Augen gneiss,45.0,32,0.0989586884152974,0.050600907175171406,0.85,0.03605637972551144
4,Augen gneiss,45.0,40,0.07337067587388363,0.014509646304117378,0.85,0.023561203817409834
4,Augen gneiss,45.0,48,0.022097713324823416,0.0026957071378870077,0.85,0.006272933327846529
4,Augen gneiss,45.0,56,0.010718879239629678,0.0018466423061718606,0.85,0.005416497544370181
4,Augen gneiss,45.0,64,0.011823467020282348,0.0036247999983706875,0.85,0.004983696888333199
4,Augen gneiss,45.0,80,0.005652732443741433,0.0003585522557526595,0.85,0.0025949963048828364
5,Augen gneiss,60.0,16,0.2318522899497345,0.36227827224806136,0.85,0.1473547051565551
5,Augen gneiss,60.0,24,0.27901213380201095,0.20322024612853193,0.85,0.06624614688160341
5,Augen gneiss,60.0,32,0.09890076932115145,0.04766014789828256,0.85,0.036056379725511456
5,Augen gneiss,60.0,40,0.07525285346975294,0.014409300832508496,0.85,0.023561203817409816
5,Augen gneiss,60.0,48,0.022083980142352227,0.0026367754039964713,0.85,0.006272933327847237
5,Augen gneiss,60.0,56,0.010626841158927277,0.001784616454567722,0.85,0.005416497544370041
5,Augen gneiss,60.0,64,0.011638524085337209,0.0033620290584317194,0.85,0.004983696888333104
5,Augen gneiss,60.0,80,0.005722049236629365,0.00037869174912512886,0.85,0.0025949740401268475
6,Augen gneiss,75.0,16,0.2262239933113164,0.3285851124685618,0.85,0.14735470515655513
6,Augen gneiss,75.0,24,0.27552854420893974,0.18593624783759458,0.85,0.06624614688160345
6,Augen gneiss,75.0,32,0.09651313579731438,0.04395544832203941,0.85,0.03605637972551148
6,Augen gneiss,75.0,40,0.07502003144150078,0.014478974950298045,0.85,0.023561203817409934
6,Augen gneiss,75.0,48,0.022124298421520184,0.002445550496275971,0.85,0.006272933327847591
6,Augen gneiss,75.0,56,0.010735777656402486,0.0016815955442828169,0.85,0.005416497544369774
6,Augen gneiss,75.0,64,0.011731482118997855,0.00311393255676705,0.85,0.004983696888332644
6,Augen gneiss,75.0,80,0.006060877715405459,0.000351541587760318,0.85,0.002594973247659357
7,Augen gneiss,90.0,16,0.21777601480532663,0.3000638882507567,0.85,0.1473547051565552
7,Augen gneiss,90.0,24,0.2681267069182521,0.16991394822687253,0.85,0.06624614688160337
7,Augen gneiss,90.0,32,0.09295897727616687,0.04097777845676125,0.85,0.03605637972551157
7,Augen gneiss,90.0,40,0.07292752458121318,0.014165445361017324,0.85,0.023561203817409702
7,Augen gneiss,90.0,48,0.022411113472341624,0.0022897760381666234,0.85,0.0062729333278471215
7,Augen gneiss,90.0,56,0.011066136270702978,0.0016721164969535943,0.85,0.005416497544370052
7,Augen gneiss,90.0,64,0.011734760321835791,0.0029459135399750916,0.85,0.004983696888332457
7,Augen gneiss,90.0,80,0.00627598381321628,0.00028839300759137015,0.85,0.0025949732653603483
8,Psammitic schist,0.0,16,0.21145972169731012,0.3348710380004634,0.85,0.14735470515655516
8,Psammitic schist,0.0,24,0.2623294766876854,0.1844138167168922,0.85,0.06624614688160328
8,Psammitic schist,0.0,32,0.09033777003157621,0.04547693095781215,0.85,0.036056379725511484
8,Psammitic schist,0.0,40,0.07108941948105084,0.014093402599026658,0.85,0.02356120381740984
8,Psammitic schist,0.0,48,0.021910272313838956,0.0022550718841724397,0.85,0.006272933327847169
8,Psammitic schist,0.0,56,0.010687516584363578,0.002017194479376317,0.85,0.005416497544369948
8,Psammitic schist,0.0,64,0.011268917677780104,0.0033132514470143202,0.85,0.004983696888332467
8,Psammitic schist,0.0,80,0.005183559380119149,0.0002514483250802379,0.85,0.0025949730679593517
9,Psammitic schist,15.0,16,0.21743929456610553,0.33750612976985417,0.85,0.14735470515655522
9,Psammitic schist,15.0,24,0.26506251562436056,0.18850099425862718,0.85,0.06624614688160334
9,Psammitic schist,15.0,32,0.09243221908191568,0.0458923731987606,0.85,0.03605637972551148
9,Psammitic schist,15.0,40,0.071566838254024,0.014332055399157646,0.85,0.023561203817409854
9,Psammitic schist,15.0,48,0.022037959606944033,0.002324825284560045,0.85,0.006272933327847291
9,Psammitic schist,15.0,56,0.010794201954777972,0.002001975486026263,0.85,0.005416497544370047
9,Psammitic schist,15.0,64,0.011450277704677842,0.0033807812971729284,0.85,0.004983696888332592
9,Psammitic schist,15.0,80,0.005279302611919579,0.00027549378296120734,0.85,0.002594973067960209
10,Psammitic schist,30.0,16,0.22158791784179963,0.3418627196036212,0.85,0.14735470515655516
10,Psammitic schist,30.0,24,0.2669856245154039,0.1929321503690682,0.85,0.06624614688160337
10,Psammitic schist,30.0,32,0.09339021452153166,0.04643566697479102,0.85,0.03605637972551143
10,Psammitic schist,30.0,40,0.07210412788519138,0.014060044550017869,0.85,0.023561203817409886
10,Psammitic schist,30.0,48,0.02196213494917826,0.002387788827705517,0.85,0.006272933327847243
10,Psammitic schist,30.0,56,0.010801400965338217,0.0019822256730595736,0.85,0.0054164975443700475
10,Psammitic schist,30.0,64,0.011554836937405189,0.0034556575542307928,0.85,0.0049836968883324815
10,Psammitic schist,30.0,80,0.005336831179349751,0.00028980786261122035,0.85,0.0025949730679622725
11,Psammitic schist,45.0,16,0.2219718735782728,0.3521522820798323,0.85,0.14735470515655516
11,Psammitic schist,45.0,24,0.26742356721647315,0.19835399719509095,0.85,0.06624614688160337
