sample,lithology,angle_deg,u_antisymmetry_index,v_symmetry_index,max_index,visibly_asymmetric,n_grid,status,reason
1,Augen gneiss,0,0.06233168902109915,0.02375313576075633,0.06233168902109915,False,31417,computed,
2,Augen gneiss,15,0.26049007638442745,0.10873301500687998,0.26049007638442745,True,31417,computed,
3,Augen gneiss,30,0.27040327943808523,0.11153219872637858,0.27040327943808523,True,31417,computed,
4,Augen gneiss,45,0.2048993847959422,0.0671910405355018,0.2048993847959422,True,31417,computed,
5,Augen gneiss,60,0.15541191305754112,0.03109441064660974,0.15541191305754112,True,31417,computed,
6,Augen gneiss,75,0.12559964540151355,0.024709821324501845,0.12559964540151355,True,31417,computed,
7,Augen gneiss,90,0.07311624439883219,0.022734354080169862,0.07311624439883219,False,31417,computed,
8,Psammitic schist,0,0.11429767389419092,0.03050068300081503,0.11429767389419092,True,31417,computed,
9,Psammitic schist,15,0.5769976719210885,0.29856924113925937,0.5769976719210885,True,31417,computed,
10,Psammitic schist,30,0.3436535289582952,0.22013779124268407,0.3436535289582952,True,31417,computed,
11,Psammitic schist,45,0.035709740615174713,0.02374579229622654,0.035709740615174713,False,31417,computed,
12,Psammitic schist,60,0.34066741243938536,0.21256761072989108,0.34066741243938536,True,31417,computed,
13,Psammitic schist,75,0.5029288178089119,0.24744203468159684,0.5029288178089119,True,31417,computed,
14,Psammitic schist,90,0.09059810944520336,0.02422730509951765,0.09059810944520336,False,31417,computed,
