sample_id,rock,angle_deg,n_components,largest_fraction,elongation,corridor
1,Augen gneiss,0.0,2,0.5,1.1694110372572797,False
2,Augen gneiss,15.0,2,0.5,1.1744917853408186,False
3,Augen gneiss,30.0,2,0.5,1.1846066321202227,False
4,Augen gneiss,45.0,2,0.5,1.2450924115942872,False
5,Augen gneiss,60.0,2,0.5,1.3703895849490246,False
6,Augen gneiss,75.0,2,0.5,1.4891371030742104,False
7,Augen gneiss,90.0,2,0.5,1.5487498792051533,False
8,Psammitic schist,0.0,1,1.0,4.788118313339093,True
9,Psammitic schist,15.0,1,1.0,4.6265162868920084,True
10,Psammitic schist,30.0,2,0.5,1.302234754525933,False
11,Psammitic schist,45.0,2,0.5,1.1716033106595751,False
12,Psammitic schist,60.0,2,0.5,1.2477246823364967,False
13,Psammitic schist,75.0,2,0.5,1.4631451217723928,False
14,Psammitic schist,90.0,1,1.0,4.621770141972808,True
