rock,angle_deg,total,failed,no_failure,tensile,shear,mixed,p_fail,tensile_cond,shear_cond,mixed_cond
Augen gneiss,0.0,14493,5127,9366,0,1990,3137,35.375698613123575,0.0,38.81412131850985,61.18587868149015
Augen gneiss,15.0,14493,5859,8634,0,2666,3193,40.42641275098323,0.0,45.5026455026455,54.4973544973545
Augen gneiss,30.0,14493,8199,6294,0,7915,284,56.57213827364935,0.0,96.53616294670081,3.4638370532991827
Augen gneiss,45.0,14493,7155,7338,0,5379,1776,49.368660732767545,0.0,75.17819706498952,24.82180293501048
Augen gneiss,60.0,14493,6815,7678,0,5981,834,47.02270061408956,0.0,87.76228906823184,12.237710931768158
Augen gneiss,75.0,14493,1977,12516,923,792,262,13.641068101842269,46.68689934243804,40.06069802731411,13.25240263024785
Augen gneiss,90.0,14493,2229,12264,1645,352,232,15.379838542744773,73.79991027366532,15.79183490354419,10.40825482279049
Psammitic schist,0.0,14493,5735,8758,0,5735,0,39.57082729593597,0.0,100.0,0.0
Psammitic schist,15.0,14493,5651,8842,0,5651,0,38.991237148968466,0.0,100.0,0.0
Psammitic schist,30.0,14493,8899,5594,0,8289,610,61.402056165045195,0.0,93.14529722440723,6.854702775592763
Psammitic schist,45.0,14493,9083,5410,0,6805,2278,62.6716345822121,0.0,74.92018055708466,25.079819442915337
Psammitic schist,60.0,14493,5831,8662,0,3320,2511,40.2332160353274,0.0,56.937060538501115,43.062939461498885
Psammitic schist,75.0,14493,1637,12856,1269,360,8,11.295107983164286,77.5198533903482,21.991447770311545,0.48869883934025654
Psammitic schist,90.0,14493,2081,12412,1721,264,96,14.358655902849652,82.70062469966362,12.686208553580009,4.6131667467563675
