sample,lithology,angle_deg,band,n_steps,n_steps_energy,n_steps_phys,phys_fraction,monotonic,n_reversals,reversal_fraction,cv,min_G_over_Gc,max_G_over_Gc,n_below_Gc,min_G_over_Gc_energy,n_below_Gc_energy,shear_fraction,status,reason
1,Augen gneiss,0,low (0-30 deg),151,87,64,0.42384105960264906,False,65,0.43333333333333335,1.7638492240372692,2.2143673685388492e-05,901.5051644188811,63,1.0364012247940362,0,0.6158940397350994,computed,
2,Augen gneiss,15,low (0-30 deg),106,38,68,0.6415094339622642,False,51,0.4857142857142857,2.149179978320098,6.4243717548721836e-06,119.15563671301081,65,1.353938023664929,0,0.6132075471698113,computed,
3,Augen gneiss,30,low (0-30 deg),109,57,52,0.47706422018348627,False,53,0.49074074074074076,3.2516342185277507,4.706584906350002e-06,28174.429276748902,52,1.1076217725545001,0,0.5504587155963303,computed,
4,Augen gneiss,45,intermediate (45-60 deg),103,43,60,0.5825242718446602,False,45,0.4411764705882353,4.301296495568237,1.8321431948285422e-06,544.1381795812221,57,1.277964282337208,0,0.6796116504854369,computed,
5,Augen gneiss,60,intermediate (45-60 deg),99,39,60,0.6060606060606061,False,46,0.46938775510204084,2.7719419278547766,0.0002811242107800443,360.85596918452745,57,1.0172919550902104,0,0.6666666666666666,computed,
6,Augen gneiss,75,high (75-90 deg),98,46,52,0.5306122448979591,False,37,0.38144329896907214,2.8283314098263066,1.6964663941736177e-06,2372.0301851593545,47,1.2354361090887973,0,0.6836734693877551,computed,
7,Augen gneiss,90,high (75-90 deg),96,64,32,0.33333333333333337,False,26,0.2736842105263158,2.1301257508067315,0.0032660481373730436,3965.901151999991,16,1.0199708562045606,0,0.8645833333333334,computed,
8,Psammitic schist,0,low (0-30 deg),116,14,102,0.8793103448275862,False,50,0.43478260869565216,4.3614715521365985,2.0861312604781564e-07,211.34472464549884,100,1.0698012266331558,0,0.9137931034482759,computed,
9,Psammitic schist,15,low (0-30 deg),115,19,96,0.8347826086956522,False,53,0.4649122807017544,3.9687031739349674,4.915698593682762e-07,87.19485077786551,92,1.0394703595843169,0,0.8260869565217391,computed,
10,Psammitic schist,30,low (0-30 deg),122,46,76,0.6229508196721312,False,49,0.4049586776859504,6.3094520301563115,1.085097316256225e-06,2451.758488612098,68,1.1573655426521514,0,0.7459016393442623,computed,
11,Psammitic schist,45,intermediate (45-60 deg),104,32,72,0.6923076923076923,False,51,0.49514563106796117,3.0057956401307084,3.560014930693136e-05,179.5155556705905,66,1.0211051602083845,0,0.7307692307692307,computed,
12,Psammitic schist,60,intermediate (45-60 deg),102,30,72,0.7058823529411764,False,44,0.43564356435643564,3.6481941880437887,1.4597329077029834e-06,169.25040487300453,68,1.0200296801824655,0,0.7549019607843137,computed,
13,Psammitic schist,75,high (75-90 deg),98,22,76,0.7755102040816326,False,39,0.4020618556701031,2.4493695467968264,4.674844399423208e-08,27.810453567774907,74,1.0198049767665633,0,0.8163265306122449,computed,
14,Psammitic schist,90,high (75-90 deg),96,40,56,0.5833333333333333,False,23,0.24210526315789474,1.9552949189498958,8.882377639914002e-05,926.8679108502706,32,1.0936982746954624,0,0.96875,computed,
