sample_id,rock,angle_deg,n_points,delta_median_deg,delta_abs_median_deg,delta_p25_deg,delta_p75_deg
1,Augen gneiss,0.0,3904,8.269442171805145e-13,2.830290557058603,-2.823311439830205,2.830290557060572
2,Augen gneiss,15.0,3904,-13.98370843776598,13.98370843776598,-16.684528241460626,-11.016908791675071
3,Augen gneiss,30.0,3904,-28.53296980761781,28.53296980761781,-31.209052224982184,-25.441936666056954
4,Augen gneiss,45.0,3904,-43.77959261590392,43.77959261590392,-46.53534538292739,-40.67201097762605
5,Augen gneiss,60.0,3904,-59.36515988865048,59.36515988865048,-62.13338550122358,-56.235925367947885
6,Augen gneiss,75.0,3904,-74.80550515000527,74.80550515000527,-77.654014600773,-71.79177321874509
7,Augen gneiss,90.0,3904,-79.45538975465126,87.03393333472734,-87.35843532364615,86.69406833515234
8,Psammitic schist,0.0,3904,-2.1373327459434834e-12,2.934891823556396,-2.9363879137041096,2.9348918235527224
9,Psammitic schist,15.0,3904,-15.432619475428233,15.432619475428233,-18.43780501042432,-12.585723199019583
10,Psammitic schist,30.0,3904,-30.625379105311914,30.625379105311914,-33.66439097312949,-27.843577213942815
11,Psammitic schist,45.0,3904,-45.48750161103493,45.48750161103493,-48.50133351238734,-42.742914522851784
12,Psammitic schist,60.0,3904,-60.22221753461187,60.22221753461187,-63.155374068682,-57.40878891062237
13,Psammitic schist,75.0,3904,-75.05869794302613,75.05869794302613,-77.94185958165546,-72.22086825581266
14,Psammitic schist,90.0,3904,79.3769495657765,87.10346157408087,-86.77330697973328,87.4107041939535
