rock,angle_deg,WT,WS,MT,MS,none
Augen gneiss,0.0,0.004581445147154026,0.015935461381405308,0.00438225187988646,0.5129724615308002,0.46212838006075396
Augen gneiss,15.0,0.004282655246252677,0.0219112593994323,0.004481848513520243,0.4803047656989194,0.4890194711418754
Augen gneiss,30.0,0.002290722573577013,0.04003784672078084,0.005179024948956726,0.5784074498281958,0.3740849559284896
Augen gneiss,45.0,0.005378218216224292,0.05726806433942533,0.006772571087097256,0.4661620437229222,0.46441910263433095
Augen gneiss,60.0,0.005179024948956726,0.1415766147104228,0.004481848513520243,0.45316468303371343,0.3955978287933868
Augen gneiss,75.0,0.054130770379961154,0.07649021463074548,0.016732234450475576,0.11134903640256959,0.7412977441362482
Augen gneiss,90.0,0.08968676858722176,0.00816692395797022,0.01752900751954584,0.15576913500323689,0.7288481649320253
Psammitic schist,0.0,0.0035854788108161946,0.02569593147751606,0.0009959663363378318,0.7618644489816244,0.2078581743937055
Psammitic schist,15.0,0.0030874956426472787,0.0337632588018525,0.0036850754444499776,0.6581843533688562,0.3012798167421941
Psammitic schist,30.0,0.003983865345351327,0.06732732433643743,0.002290722573577013,0.7198346695881679,0.2065634181564663
Psammitic schist,45.0,0.0037846720780837606,0.0935212389821224,0.0012947562372391814,0.6285045565459887,0.27289477615656593
Psammitic schist,60.0,0.005179024948956726,0.1545241770828146,0.012449579204222898,0.36034062048702753,0.4675065982769782
Psammitic schist,75.0,0.025197948309347143,0.06090334146705841,0.02380359543847418,0.0325680991982471,0.8575270155868732
Psammitic schist,90.0,0.07185897116677456,0.047806384144215924,0.020317713261291767,0.17648523479906378,0.683531696628654
