sample_id,rock,angle_deg,measured_UCS_MPa,cohesion_measured_MPa,cohesion_implied_by_UCS_MPa,cohesion_ratio,WT_adopted,WS_adopted,MT_adopted,MS_adopted,WT_ucs_anchored,WS_ucs_anchored,MT_ucs_anchored,MS_ucs_anchored
1,Augen gneiss,0,55.472,15.220000000000002,13.560724726562347,1.1223588935617517,0.0,0.0,0.1202317720907774,0.27315996413050975,0.0,0.0,0.0,0.4945161067807132
2,Augen gneiss,15,50.884,14.1,12.759849410917164,1.1050287151458245,0.0,0.010071049182589501,0.0,0.40718769400565635,0.0,0.013933917362212871,0.0,0.48623853211009177
3,Augen gneiss,30,38.514,11.31,10.442646215419138,1.0830588115970228,0.0,0.03752500517348417,0.0,0.4798923915292819,0.0,0.03959439884113954,0.0,0.5194867903704214
4,Augen gneiss,45,45.0675,11.68,11.742827247847694,0.9946497341294696,0.0,0.07008346554459544,0.0,0.3387597433951852,0.0,0.06994550596675174,0.0,0.3373801476167483
5,Augen gneiss,60,48.95,10.27,12.608155836694214,0.8145521147597692,0.0,0.21156101262330138,0.0,0.1950748430709802,0.0,0.17969235014140858,0.0,0.11147133889770297
6,Augen gneiss,75,61.3425,15.66,15.446158742396372,1.013844300137657,0.085052079740636,0.064013244119473,0.0,0.0,0.08463820100710492,0.0655307994757536,0.0,0.0
7,Augen gneiss,90,67.4625,16.86,16.906081345102763,0.9972742740223409,0.12837138718355523,0.0,0.0,0.0,0.12837138718355523,0.0,0.0,0.0
8,Psammitic schist,0,40.5067,11.94,12.147800742758115,0.98289396186532,0.0,0.001379595778436918,0.0,0.54073256535835,0.0,0.001379595778436918,0.0,0.5291439608194799
9,Psammitic schist,15,40.2933,11.61,12.019347307026898,0.9659426342736946,0.0,0.017244947230461476,0.011519624749948266,0.4525074153273091,0.0,0.015727391874180863,0.09415741187831965,0.3382768848727323
10,Psammitic schist,30,28.0267,9.08,9.13867349589132,0.9935796485214513,0.0,0.07822308063737325,0.0,0.5342484651996965,0.0,0.07767124232599848,0.0,0.5319031523763538
11,Psammitic schist,45,25.6667,8.29,8.295913369780996,0.9992871948491486,0.0,0.165620473201352,0.0,0.3302752293577982,0.0,0.1654825136235083,0.0,0.3297233910464234
12,Psammitic schist,60,36.83,9.24,11.106446523660642,0.831949263008249,0.0,0.1693453818031317,0.0,0.14913430364903082,0.0,0.1453404152583293,0.0,0.044009105332137685
13,Psammitic schist,75,39.6025,12.15,11.098314330022529,1.0947608473417005,0.023315168655583914,0.0,0.0,0.0,0.023315168655583914,0.0,0.0,0.0
14,Psammitic schist,90,43.33,12.52,12.427756429044802,1.0074223832340017,0.10146926950403531,0.0,0.0,0.0,0.10146926950403531,0.0,0.0,0.0
