rock,angle_deg,grad_median_deg_per_mm,grad_p90_deg_per_mm
Augen gneiss,0.0,2.410584437485154,4.569656101272696
Augen gneiss,15.0,2.3611660082780026,4.4889631645057
Augen gneiss,30.0,2.2964187502878413,4.348980872330649
Augen gneiss,45.0,2.2617582068742763,4.308010799671787
Augen gneiss,60.0,2.257717305450896,4.355376225106227
Augen gneiss,75.0,2.1833136719467365,4.286739035977266
Augen gneiss,90.0,1.9942662761250338,4.211024957553046
Psammitic schist,0.0,2.215387088809024,4.459912576072458
Psammitic schist,15.0,2.324906995410639,4.574263512691808
Psammitic schist,30.0,2.4774286274865336,4.634292136128327
Psammitic schist,45.0,2.527373728559772,5.042150482524519
Psammitic schist,60.0,2.5258490298100114,6.100494561867655
Psammitic schist,75.0,2.3318315142004686,7.65095411966511
Psammitic schist,90.0,1.966001155347545,7.521664257593449
