rock,angle_deg,circ_sd_deg
Augen gneiss,0.0,17.13750334415644
Augen gneiss,15.0,17.01473262207569
Augen gneiss,30.0,16.61418110371574
Augen gneiss,45.0,16.130627158349416
Augen gneiss,60.0,15.886567773131377
Augen gneiss,75.0,15.608004417970205
Augen gneiss,90.0,15.294671109568684
Psammitic schist,0.0,16.09485519629069
Psammitic schist,15.0,16.674534018760717
Psammitic schist,30.0,17.470672861754075
Psammitic schist,45.0,17.71633345438467
Psammitic schist,60.0,18.57659939722642
Psammitic schist,75.0,18.6480488000462
Psammitic schist,90.0,17.956912865466247
