sample,lithology,experimental_angle_deg,observed_path,predicted_path,observed_exists,predicted_exists,observed_columns,predicted_columns,units,disc_radius_m,observed_n_points,predicted_n_points,observed_n_points_outside_disc,coordinate_convention,transform_applied,status,reason
1,Augen gneiss,0,/Users/durgaacharya/Documents/Nepal_Geology/Impact_of_Rock_Structure_on_Tensile_Strength-Rupture/crack_digitized_data/augen_gneiss_0_sample_1.csv,/Users/durgaacharya/Documents/Nepal_Geology/Impact_of_Rock_Structure_on_Tensile_Strength-Rupture/outputs/fields/ddm_crack_sample_1.csv,True,True,"col0=x[m], col1=y[m] (headerless)","order,x_m,y_m",m,0.0255,52,260,1,"global right-handed (x,y) in metres, disc centre at origin, +y loading axis, +x horizontal diameter, angles CCW from +x, axial (180-deg periodic)","identity; digitized points marginally outside the disc projected radially onto r = R, per crack_data_plot.py",computed,
2,Augen gneiss,15,/Users/durgaacharya/Documents/Nepal_Geology/Impact_of_Rock_Structure_on_Tensile_Strength-Rupture/crack_digitized_data/augen_gneiss_15_sample_2.csv,/Users/durgaacharya/Documents/Nepal_Geology/Impact_of_Rock_Structure_on_Tensile_Strength-Rupture/outputs/fields/ddm_crack_sample_2.csv,True,True,"col0=x[m], col1=y[m] (headerless)","order,x_m,y_m",m,0.0255,87,260,1,"global right-handed (x,y) in metres, disc centre at origin, +y loading axis, +x horizontal diameter, angles CCW from +x, axial (180-deg periodic)","identity; digitized points marginally outside the disc projected radially onto r = R, per crack_data_plot.py",computed,
3,Augen gneiss,30,/Users/durgaacharya/Documents/Nepal_Geology/Impact_of_Rock_Structure_on_Tensile_Strength-Rupture/crack_digitized_data/augen_gneiss_30_sample_3.csv,/Users/durgaacharya/Documents/Nepal_Geology/Impact_of_Rock_Structure_on_Tensile_Strength-Rupture/outputs/fields/ddm_crack_sample_3.csv,True,True,"col0=x[m], col1=y[m] (headerless)","order,x_m,y_m",m,0.0255,65,260,3,"global right-handed (x,y) in metres, disc centre at origin, +y loading axis, +x horizontal diameter, angles CCW from +x, axial (180-deg periodic)","identity; digitized points marginally outside the disc projected radially onto r = R, per crack_data_plot.py",computed,
4,Augen gneiss,45,/Users/durgaacharya/Documents/Nepal_Geology/Impact_of_Rock_Structure_on_Tensile_Strength-Rupture/crack_digitized_data/augen_gneiss_45_sample_4.csv,/Users/durgaacharya/Documents/Nepal_Geology/Impact_of_Rock_Structure_on_Tensile_Strength-Rupture/outputs/fields/ddm_crack_sample_4.csv,True,True,"col0=x[m], col1=y[m] (headerless)","order,x_m,y_m",m,0.0255,41,260,1,"global right-handed (x,y) in metres, disc centre at origin, +y loading axis, +x horizontal diameter, angles CCW from +x, axial (180-deg periodic)","identity; digitized points marginally outside the disc projected radially onto r = R, per crack_data_plot.py",computed,
5,Augen gneiss,60,/Users/durgaacharya/Documents/Nepal_Geology/Impact_of_Rock_Structure_on_Tensile_Strength-Rupture/crack_digitized_data/augen_gneiss_60_sample_5.csv,/Users/durgaacharya/Documents/Nepal_Geology/Impact_of_Rock_Structure_on_Tensile_Strength-Rupture/outputs/fields/ddm_crack_sample_5.csv,True,True,"col0=x[m], col1=y[m] (headerless)","order,x_m,y_m",m,0.0255,62,260,1,"global right-handed (x,y) in metres, disc centre at origin, +y loading axis, +x horizontal diameter, angles CCW from +x, axial (180-deg periodic)","identity; digitized points marginally outside the disc projected radially onto r = R, per crack_data_plot.py",computed,
6,Augen gneiss,75,/Users/durgaacharya/Documents/Nepal_Geology/Impact_of_Rock_Structure_on_Tensile_Strength-Rupture/crack_digitized_data/augen_gneiss_75_sample_6.csv,/Users/durgaacharya/Documents/Nepal_Geology/Impact_of_Rock_Structure_on_Tensile_Strength-Rupture/outputs/fields/ddm_crack_sample_6.csv,True,True,"col0=x[m], col1=y[m] (headerless)","order,x_m,y_m",m,0.0255,89,260,1,"global right-handed (x,y) in metres, disc centre at origin, +y loading axis, +x horizontal diameter, angles CCW from +x, axial (180-deg periodic)","identity; digitized points marginally outside the disc projected radially onto r = R, per crack_data_plot.py",computed,
7,Augen gneiss,90,/Users/durgaacharya/Documents/Nepal_Geology/Impact_of_Rock_Structure_on_Tensile_Strength-Rupture/crack_digitized_data/augen_gneiss_90_sample_7.csv,/Users/durgaacharya/Documents/Nepal_Geology/Impact_of_Rock_Structure_on_Tensile_Strength-Rupture/outputs/fields/ddm_crack_sample_7.csv,True,True,"col0=x[m], col1=y[m] (headerless)","order,x_m,y_m",m,0.0255,56,260,1,"global right-handed (x,y) in metres, disc centre at origin, +y loading axis, +x horizontal diameter, angles CCW from +x, axial (180-deg periodic)","identity; digitized points marginally outside the disc projected radially onto r = R, per crack_data_plot.py",computed,
8,Psammitic schist,0,/Users/durgaacharya/Documents/Nepal_Geology/Impact_of_Rock_Structure_on_Tensile_Strength-Rupture/crack_digitized_data/psammitic_schist_0_sample_8.csv,/Users/durgaacharya/Documents/Nepal_Geology/Impact_of_Rock_Structure_on_Tensile_Strength-Rupture/outputs/fields/ddm_crack_sample_8.csv,True,True,"col0=x[m], col1=y[m] (headerless)","order,x_m,y_m",m,0.0255,61,260,5,"global right-handed (x,y) in metres, disc centre at origin, +y loading axis, +x horizontal diameter, angles CCW from +x, axial (180-deg periodic)","identity; digitized points marginally outside the disc projected radially onto r = R, per crack_data_plot.py",computed,
9,Psammitic schist,15,/Users/durgaacharya/Documents/Nepal_Geology/Impact_of_Rock_Structure_on_Tensile_Strength-Rupture/crack_digitized_data/psammitic_schist_15_sample_9.csv,/Users/durgaacharya/Documents/Nepal_Geology/Impact_of_Rock_Structure_on_Tensile_Strength-Rupture/outputs/fields/ddm_crack_sample_9.csv,True,True,"col0=x[m], col1=y[m] (headerless)","order,x_m,y_m",m,0.0255,52,260,1,"global right-handed (x,y) in metres, disc centre at origin, +y loading axis, +x horizontal diameter, angles CCW from +x, axial (180-deg periodic)","identity; digitized points marginally outside the disc projected radially onto r = R, per crack_data_plot.py",computed,
10,Psammitic schist,30,/Users/durgaacharya/Documents/Nepal_Geology/Impact_of_Rock_Structure_on_Tensile_Strength-Rupture/crack_digitized_data/psammitic_schist_30_sample_10.csv,/Users/durgaacharya/Documents/Nepal_Geology/Impact_of_Rock_Structure_on_Tensile_Strength-Rupture/outputs/fields/ddm_crack_sample_10.csv,True,True,"col0=x[m], col1=y[m] (headerless)","order,x_m,y_m",m,0.0255,46,260,2,"global right-handed (x,y) in metres, disc centre at origin, +y loading axis, +x horizontal diameter, angles CCW from +x, axial (180-deg periodic)","identity; digitized points marginally outside the disc projected radially onto r = R, per crack_data_plot.py",computed,
