Sample_ID,Angle_deg,Regime,Tensile_MJ_m3,Shear_MJ_m3,Mixed_MJ_m3,Total_MJ_m3,Tensile_%,Shear_%,Mixed_%
8,0.000000,Thrust,0.026679,0.025671,0.000000,0.052351,50.962944,49.037056,0.000000
8,0.000000,Strike-Slip,0.024686,0.027665,0.000000,0.052351,47.154446,52.845554,0.000000
8,0.000000,Extensional,0.022696,0.029655,0.000000,0.052351,43.353778,56.646222,0.000000
9,15.000000,Thrust,0.026712,0.026691,0.002414,0.055818,47.856708,47.818188,4.325104
9,15.000000,Strike-Slip,0.023946,0.028077,0.003794,0.055818,42.901044,50.300967,6.797990
9,15.000000,Extensional,0.021000,0.029310,0.005508,0.055818,37.621767,52.509752,9.868480
10,30.000000,Thrust,0.016218,0.018695,0.004347,0.039259,41.308853,47.618718,11.072429
10,30.000000,Strike-Slip,0.014489,0.019573,0.005198,0.039259,36.906068,49.854901,13.239032
10,30.000000,Extensional,0.012566,0.020513,0.006180,0.039259,32.006869,52.251096,15.742035
11,45.000000,Thrust,0.017100,0.021496,0.005036,0.043633,39.192045,49.265212,11.542743
11,45.000000,Strike-Slip,0.015333,0.022565,0.005734,0.043633,35.141649,51.716724,13.141627
11,45.000000,Extensional,0.013512,0.023634,0.006487,0.043633,30.966861,54.165161,14.867978
12,60.000000,Thrust,0.011380,0.013126,0.003213,0.027720,41.055265,47.352318,11.592417
12,60.000000,Strike-Slip,0.010069,0.013820,0.003831,0.027720,36.323792,49.854754,13.821454
12,60.000000,Extensional,0.008768,0.014574,0.004378,0.027720,31.631765,52.575956,15.792279
13,75.000000,Thrust,0.007949,0.007803,0.000644,0.016396,48.481638,47.592207,3.926155
13,75.000000,Strike-Slip,0.007059,0.008319,0.001019,0.016396,43.049596,50.733540,6.216864
13,75.000000,Extensional,0.006071,0.008851,0.001474,0.016396,37.028696,53.984237,8.987067
14,90.000000,Thrust,0.007717,0.007033,0.000000,0.014750,52.315583,47.684417,0.000000
14,90.000000,Strike-Slip,0.006984,0.007766,0.000000,0.014750,47.348989,52.651011,0.000000
14,90.000000,Extensional,0.006270,0.008480,0.000000,0.014750,42.509438,57.490562,0.000000
