Sample_ID,Angle_deg,Regime,Tensile_MJ_m3,Shear_MJ_m3,Mixed_MJ_m3,Total_MJ_m3,Tensile_%,Shear_%,Mixed_%
1,0.000000,Thrust,0.014841,0.013783,0.000000,0.028623,51.848172,48.151828,0.000000
1,0.000000,Strike-Slip,0.013694,0.014929,0.000000,0.028623,47.842643,52.157357,0.000000
1,0.000000,Extensional,0.012556,0.016067,0.000000,0.028623,43.867292,56.132708,0.000000
2,15.000000,Thrust,0.008434,0.007934,0.000306,0.016674,50.582875,47.579971,1.837154
2,15.000000,Strike-Slip,0.007681,0.008511,0.000483,0.016674,46.063185,51.041185,2.895630
2,15.000000,Extensional,0.006909,0.009079,0.000686,0.016674,41.434078,54.451110,4.114812
3,30.000000,Thrust,0.010335,0.009952,0.001080,0.021367,48.367971,46.578236,5.053793
3,30.000000,Strike-Slip,0.009234,0.010470,0.001664,0.021367,43.215486,48.997929,7.786584
3,30.000000,Extensional,0.007993,0.010967,0.002407,0.021367,37.408793,51.324070,11.267137
4,45.000000,Thrust,0.004721,0.004578,0.000664,0.009963,47.383163,45.948232,6.668605
4,45.000000,Strike-Slip,0.004167,0.004784,0.001011,0.009963,41.829761,48.021050,10.149190
4,45.000000,Extensional,0.003520,0.005000,0.001442,0.009963,35.329608,50.192314,14.478078
5,60.000000,Thrust,0.006639,0.006192,0.000640,0.013471,49.283470,45.965888,4.750641
5,60.000000,Strike-Slip,0.005926,0.006519,0.001026,0.013471,43.990027,48.394737,7.615235
5,60.000000,Extensional,0.005089,0.006861,0.001522,0.013471,37.774904,50.929666,11.295430
6,75.000000,Thrust,0.004784,0.004193,0.000137,0.009114,52.492177,46.000249,1.507573
6,75.000000,Strike-Slip,0.004313,0.004558,0.000243,0.009114,47.326484,50.004518,2.668998
6,75.000000,Extensional,0.003818,0.004933,0.000363,0.009114,41.890964,54.120877,3.988159
7,90.000000,Thrust,0.002685,0.002318,0.000000,0.005002,53.670464,46.329536,0.000000
7,90.000000,Strike-Slip,0.002432,0.002570,0.000000,0.005002,48.624333,51.375667,0.000000
7,90.000000,Extensional,0.002174,0.002829,0.000000,0.005002,43.450008,56.549992,0.000000
