sample,lithology,lithology_key,angle_deg,regime,mean_stress_offset_MPa,total_U_MJ_m3,WT_MJ_m3,WT_pct,WS_MJ_m3,WS_pct,MT_MJ_m3,MT_pct,MS_MJ_m3,MS_pct,below_threshold_MJ_m3,below_threshold_pct,weak_plane_pct,matrix_pct,tensile_pct,shear_pct,mixed_flag_pct,T_m_MPa,c_m_MPa,phi_m_deg,status,reason
1,Augen Gneiss,augen_gneiss,0,Thrust,0.5,574.7787842516758,0.29366135167578794,0.05109119538190953,3.3050255933638413,0.5750082786487618,1.330229276386342,0.231433259687588,380.2585348680595,66.15737137255877,189.59133316219032,32.98509589372297,0.6260994740306713,66.38880463224636,0.2825244550694975,66.73237965120754,0.5418183589377509,10.40857142857143,9.22,37.89,computed,
1,Augen Gneiss,augen_gneiss,0,Strike-Slip,0.0,574.7787842516758,0.2593403599691602,0.04512003001412175,3.221746058884972,0.5605193071069026,1.316231130280335,0.22899786254184404,378.02041293459627,65.76798296874405,191.9610537679451,33.397379831593085,0.6056393371210244,65.9969808312859,0.2741178925559658,66.32850227585095,0.4851806735050507,10.40857142857143,9.22,37.89,computed,
1,Augen Gneiss,augen_gneiss,0,Extensional,-0.5,574.7787842516758,0.2545181737551092,0.04428106616469415,3.011267287040404,0.5239002150994275,1.316231130280335,0.22899786254184404,373.5819061964921,64.99577166594122,196.6148614641078,34.20704919025281,0.5681812812641217,65.22476952848307,0.2732789287065382,65.51967188104065,0.3712917616515966,10.40857142857143,9.22,37.89,computed,
2,Augen Gneiss,augen_gneiss,15,Thrust,0.5,334.8317221966138,0.2821858518667567,0.0842769167794253,4.029342199528034,1.2033932069202204,0.6885809646476697,0.20564985901883387,219.99613044504923,65.70349099595381,109.83548273552206,32.8031890213277,1.2876701236996457,65.90914085497265,0.28992677579825915,66.90688420287404,0.6426531815238261,9.84,8.51,37.01,computed,
2,Augen Gneiss,augen_gneiss,15,Strike-Slip,0.0,334.8317221966138,0.27647967312770566,0.08257272378910271,3.9100755216478866,1.1677733208778478,0.6716476520686658,0.20059259847377098,217.4345358413379,64.9384515943982,112.53898350843161,33.610609762461074,1.2503460446669505,65.13904419287198,0.2831653222628737,66.10622491527604,0.6952708158814185,9.84,8.51,37.01,computed,
2,Augen Gneiss,augen_gneiss,15,Extensional,-0.5,334.8317221966138,0.2505987860962829,0.07484320316255186,3.921415746554599,1.1711601639261457,0.6629567970985877,0.1979970095871915,215.66444886025153,64.40980186865717,114.33230200661279,34.14619775466694,1.2460033670886976,64.60779887824437,0.27284021274974335,65.58096203258332,0.7220858587415083,9.84,8.51,37.01,computed,
3,Augen Gneiss,augen_gneiss,30,Thrust,0.5,429.07538113990665,0.07844841760421974,0.01828313183473941,9.853410366058371,2.2964287393700444,1.1330920789420926,0.2640776256917501,306.10289033898005,71.34011966050564,111.90753993832189,26.08109084259782,2.314711871204784,71.60419728619739,0.2823607575264895,73.63654839987568,2.363175951423331,9.898333333333332,5.31,33.97,computed,
3,Augen Gneiss,augen_gneiss,30,Strike-Slip,0.0,429.07538113990665,0.07208107548222088,0.01679916365528269,10.267058524400406,2.3928332819105913,1.1045014737835555,0.2574143197983703,303.4206247960374,70.71499278051154,114.21111527020308,26.61796045412421,2.409632445565874,70.97240710030991,0.274213483453653,73.10782606242213,2.3955147699132016,9.898333333333332,5.31,33.97,computed,
3,Augen Gneiss,augen_gneiss,30,Extensional,-0.5,429.07538113990665,0.06674497981993699,0.015555537034685698,10.662066649210487,2.4848935916306876,1.0607404855225107,0.24721541532037697,301.6601640341461,70.30470106039132,115.62566499120757,26.94763439562291,2.500449128665373,70.5519164757117,0.26277095235506265,72.78959465202202,2.561411358856377,9.898333333333332,5.31,33.97,computed,
4,Augen Gneiss,augen_gneiss,45,Thrust,0.5,200.05953137890714,0.2834287067621946,0.14167218367886136,8.349343500335443,4.173429500103158,0.5099128403075301,0.25488055319982206,142.0415207035117,70.99962682332243,48.87532562799028,24.430390939695737,4.315101683782019,71.25450737652226,0.3965527368786834,75.17305632342558,2.546993583773438,8.945,4.09,33.97,computed,
4,Augen Gneiss,augen_gneiss,45,Strike-Slip,0.0,200.05953137890714,0.26231134033233827,0.13111664239357232,8.327078216448498,4.1623001708812595,0.4755692178173353,0.23771385174177007,141.45653201940223,70.70721951831804,49.53804058490675,24.76164981666537,4.293416813274832,70.94493337005981,0.3688304941353424,74.86951968919931,2.452771695590435,8.945,4.09,33.97,computed,
4,Augen Gneiss,augen_gneiss,45,Extensional,-0.5,200.05953137890714,0.24188802163723444,0.12090802171234986,8.22808306955821,4.112817326345952,0.46518171513486956,0.23252164589640492,140.4130143886437,70.18561596183358,50.711364183933135,25.348137044211725,4.233725348058302,70.41813760772997,0.35342966760875477,74.29843328817952,2.4541176488385115,8.945,4.09,33.97,computed,
5,Augen Gneiss,augen_gneiss,60,Thrust,0.5,270.50633193445105,0.5785328877503251,0.21387036806610313,34.856833745708194,12.885773688341862,0.4126843668315685,0.15255996555805945,177.26164685754844,65.52957396224735,57.39663407661257,21.218222015786637,13.099644056407966,65.68213392780541,0.36643033362416255,78.41534765058921,9.086119608931314,8.676666666666668,3.27,33.97,computed,
5,Augen Gneiss,augen_gneiss,60,Strike-Slip,0.0,270.50633193445105,0.5492899634075388,0.20305992820184424,35.11171934013174,12.97999905918653,0.38004720132683223,0.14049475241818926,175.93561120761464,65.03936893064937,58.52966422197032,21.637077329544063,13.183058987388375,65.17986368306757,0.34355468062003347,78.0193679898359,8.10014333007602,8.676666666666668,3.27,33.97,computed,
5,Augen Gneiss,augen_gneiss,60,Extensional,-0.5,270.50633193445105,0.539163986604397,0.19931658632488017,35.353584746820005,13.069411164610694,0.3267732309375849,0.12080058481469057,175.13258836720092,64.74250976485051,59.15422160288819,21.867961899399237,13.268727750935573,64.8633103496652,0.3201171711395707,77.81192092946121,7.979513107437645,8.676666666666668,3.27,33.97,computed,
