rock,angle_deg,n,mean,sd,sem,cv_pct
Augen gneiss,0,5,10.47,0.3786819245752299,0.16935170504013244,3.616828314949665
Augen gneiss,15,5,10.026,0.45025548303157914,0.2013603734601228,4.490878546095942
Augen gneiss,30,5,9.794,0.2559882809817667,0.11448143954370937,2.613725556276972
Augen gneiss,45,4,9.1475,0.40606854922127056,0.20303427461063528,4.439120516220503
Augen gneiss,60,3,7.909999999999999,0.14422205101855953,0.0832666399786453,1.823287623496328
Augen gneiss,75,4,7.63,0.4726520919238589,0.23632604596192944,6.194653891531571
Augen gneiss,90,4,8.0,0.3739875220734864,0.1869937610367432,4.67484402591858
Psammitic schist,0,3,9.57,0.6581793068761738,0.3800000000000002,6.877526717619371
Psammitic schist,15,3,8.436666666666666,0.6921223398600368,0.3995970192303459,8.203741681470213
Psammitic schist,30,3,8.106666666666667,0.4252450274057689,0.24551533104427048,5.245621226222478
Psammitic schist,45,3,6.859999999999999,0.5291502622129182,0.3055050463303894,7.7135606736577
Psammitic schist,60,3,5.8999999999999995,0.364965751817893,0.21071307505705467,6.185860200303271
Psammitic schist,75,4,3.7175000000000002,0.484036844327647,0.2420184221638235,13.020493458712762
Psammitic schist,90,3,5.003333333333334,0.38070110760717935,0.2197978869577937,7.6089495191308325
