lithology,angle_deg,tensile_MPa,compressive_MPa,n_replicates
Augen Gneiss,0,10.40857142857143,55.42285714285714,7
Augen Gneiss,15,9.84,50.63999999999999,3
Augen Gneiss,30,9.898333333333333,39.56166666666667,6
Augen Gneiss,45,8.945,36.035,2
Augen Gneiss,60,8.676666666666668,48.949999999999996,3
Augen Gneiss,75,6.866,60.134,5
Augen Gneiss,90,7.25,67.4625,4
Psammitic Schist,0,9.57,40.50666666666667,3
Psammitic Schist,15,8.436666666666666,40.29333333333333,3
Psammitic Schist,30,8.106666666666667,28.026666666666667,3
Psammitic Schist,45,6.859999999999999,25.666666666666668,3
Psammitic Schist,60,5.8999999999999995,36.830000000000005,3
Psammitic Schist,75,3.4675000000000002,39.6025,4
Psammitic Schist,90,5.003333333333334,43.330000000000005,3
