sample,lithology,lithology_key,experimental_angle_deg,observed_source,predicted_source,observed_orientation_deg,observed_bootstrap_sd_deg,predicted_orientation_deg,abs_axial_angular_error_deg,signed_wrapped_diff_deg,observed_n_points,predicted_n_points,observed_n_segments,predicted_n_segments,observed_primary_seg_length_m,observed_primary_frac_of_total_length,predicted_primary_seg_length_m,observed_n_points_central,predicted_n_points_central,observed_fit_collinearity,predicted_fit_collinearity,orientation_fit_domain,observed_fit_domain,predicted_fit_domain,observed_frac_outside_core,observed_orientation_full_deg,predicted_orientation_full_deg,abs_axial_angular_error_full_deg,observed_orientation_se_deg,predicted_orientation_se_deg,orientation_se_advisory_deg,observed_central_fallback_used,predicted_central_fallback_used,observed_n_outside_disc,predicted_frac_outside_core,predicted_core_frac,supp_symmetric_mean_nn_distance_m,supp_hausdorff_distance_m,central_fraction_used,status,reason
1,Augen gneiss,augen_gneiss,0,crack_digitized_data/augen_gneiss_0_sample_1.csv,outputs/fields/ddm_crack_sample_1.csv,94.20667797936179,0.41361623234410766,88.52300144246709,5.683676536894694,-5.683676536894694,52,260,2,1,0.050729790604306435,0.5509567198862572,0.051335643408283865,11,114,0.9992940723298116,0.9998129539756337,interior_0.85R,interior_0.85R,interior_0.85R,0.2222222222222222,93.70010039859626,89.53051224533502,4.169588153261245,0.3321949971200579,0.05540919944079678,2.0,False,False,1,0.23076923076923073,0.85,0.003002576092801328,0.004804636823140171,0.5,computed,
2,Augen gneiss,augen_gneiss,15,crack_digitized_data/augen_gneiss_15_sample_2.csv,outputs/fields/ddm_crack_sample_2.csv,94.1813913968337,0.40505115573611583,90.32773065875483,3.8536607380788723,-3.8536607380788723,87,260,4,1,0.05172315235999607,0.3965602781887029,0.05134960228083175,15,112,0.9982315586127238,0.9997289979767224,interior_0.85R,interior_0.85R,interior_0.85R,0.21212121212121215,93.70705234004501,89.70588875966548,4.001163580379526,0.4725320752553724,0.06771860983472029,2.0,False,False,1,0.25384615384615383,0.85,0.0017468323326064674,0.003633002760855347,0.5,computed,
3,Augen gneiss,augen_gneiss,30,crack_digitized_data/augen_gneiss_30_sample_3.csv,outputs/fields/ddm_crack_sample_3.csv,97.09504211252981,3.176320999080899,88.34109395731119,8.753948155218623,-8.753948155218623,67,260,6,1,0.05343431861310568,0.5012728809881021,0.05549950273866721,14,102,0.9578709155178907,0.99967113625832,interior_0.85R,interior_0.85R,interior_0.85R,0.2142857142857143,99.41516234585816,86.50237528022336,12.912787065634802,2.507276918908872,0.07832029152909689,2.0,False,False,3,0.32307692307692304,0.85,0.0021411122489257105,0.004456905684103507,0.5,computed,
4,Augen gneiss,augen_gneiss,45,crack_digitized_data/augen_gneiss_45_sample_4.csv,outputs/fields/ddm_crack_sample_4.csv,86.41913583216127,0.29106788038071324,90.84487507885315,4.425739246691876,4.425739246691876,41,260,2,1,0.05074609948080117,0.7767649798422628,0.05109513406606222,15,128,0.9993175385582267,0.9991739658883106,interior_0.85R,interior_0.85R,interior_0.85R,0.1875,87.02202382083384,90.72506465182721,3.7030408309933733,0.2935452235301458,0.11153043002663937,2.0,False,False,1,0.16153846153846152,0.85,0.0030442788425710217,0.0050333026667517605,0.5,computed,
5,Augen gneiss,augen_gneiss,60,crack_digitized_data/augen_gneiss_60_sample_5.csv,outputs/fields/ddm_crack_sample_5.csv,94.31694655405025,1.2239494886131106,89.44545780924079,4.871488744809454,-4.871488744809454,62,260,4,1,0.0421042013976492,0.34085489728096213,0.05153863154897552,15,128,0.9886457484267118,0.9995481464868429,interior_0.85R,interior_0.85R,interior_0.85R,0.07692307692307687,93.67519863748454,88.54008776734311,5.135110870141432,1.2462244508317466,0.0824884640883075,2.0,False,False,1,0.16153846153846152,0.85,0.0014090799464934476,0.0031266858581102887,0.5,computed,
6,Augen gneiss,augen_gneiss,75,crack_digitized_data/augen_gneiss_75_sample_6.csv,outputs/fields/ddm_crack_sample_6.csv,88.96918983645955,0.700235394539274,89.84706408988022,0.8778742534206714,0.8778742534206714,89,260,4,1,0.05108144590315063,0.4010316374048153,0.05087073823224124,16,126,0.9966682337308843,0.999917940709142,interior_0.85R,interior_0.85R,interior_0.85R,0.17647058823529416,89.15301689302707,90.56640084424937,1.4133839512223005,0.6250012418561344,0.03515266580690251,2.0,False,False,1,0.16153846153846152,0.85,0.0026232749575645833,0.003671203223764247,0.5,computed,
7,Augen gneiss,augen_gneiss,90,crack_digitized_data/augen_gneiss_90_sample_7.csv,outputs/fields/ddm_crack_sample_7.csv,88.23214384292115,0.691143220379386,89.76017913437647,1.5280352914553248,1.5280352914553248,56,260,4,1,0.051943823958630626,0.49173610013350544,0.05093167946532884,16,126,0.9965958196094374,0.9999776802261203,interior_0.85R,interior_0.85R,interior_0.85R,0.19354838709677424,87.06481353111194,89.01249012302233,1.947676591910394,0.6685885132942101,0.018417922961541783,2.0,False,False,1,0.16923076923076918,0.85,0.0005021788940370048,0.0011160816264517745,0.5,computed,
8,Psammitic schist,psammitic_schist,0,crack_digitized_data/psammitic_schist_0_sample_8.csv,outputs/fields/ddm_crack_sample_8.csv,91.74193253458374,0.8210499082460713,91.31641883190126,0.4255137026824798,-0.4255137026824798,61,260,4,1,0.05212609413652308,0.5682772230947757,0.05385442864119189,16,116,0.9951823065351987,0.9995572590154852,interior_0.85R,interior_0.85R,interior_0.85R,0.18181818181818177,91.7583252345661,91.88019317483833,0.12186794027222447,0.7653504328969476,0.08567712810123064,2.0,False,False,5,0.2384615384615385,0.85,0.0017093217296629652,0.002734695277767717,0.5,computed,
9,Psammitic schist,psammitic_schist,15,crack_digitized_data/psammitic_schist_15_sample_9.csv,outputs/fields/ddm_crack_sample_9.csv,85.09872243506484,0.6666352890229524,85.07911545549423,0.01960697957061086,-0.01960697957061086,52,260,3,1,0.05126990931431388,0.48299126935954206,0.0535504932652662,15,114,0.9973346021859579,0.9980859359993492,interior_0.85R,interior_0.85R,interior_0.85R,0.1785714285714286,85.69061485163921,87.31867370070373,1.6280588490645158,0.6167934214546797,0.17904938116690086,2.0,False,False,1,0.24615384615384617,0.85,0.0006380545489995006,0.0013396005839377651,0.5,computed,
10,Psammitic schist,psammitic_schist,30,crack_digitized_data/psammitic_schist_30_sample_10.csv,outputs/fields/ddm_crack_sample_10.csv,86.009291634633,1.9822830249047756,86.80493477608707,0.7956431414540646,0.7956431414540646,46,260,2,1,0.06416168989327825,0.6443555929677566,0.0531545245545085,13,102,0.9841567825662295,0.9963876459736954,interior_0.85R,interior_0.85R,interior_0.85R,0.32352941176470584,87.0550048580881,88.70467162515332,1.6496667670652272,1.5037665000894365,0.25811175543236575,2.0,False,False,2,0.3153846153846154,0.85,0.0017002687691098075,0.003696110801439555,0.5,computed,
