sample,lithology,angle_deg,observed_rms_wander_mm,observed_max_wander_mm,predicted_rms_wander_mm,predicted_max_wander_mm,model_straighter
1,Augen gneiss,0,0.36321867821275683,0.9106029258917366,0.3509691650640568,0.9943112513478556,True
2,Augen gneiss,15,0.4982786575210848,0.9405960438373774,0.2559082318941876,0.4524530397200543,True
3,Augen gneiss,30,2.7943001075555673,4.086772009565134,0.8509714275320527,2.160435047627401,True
4,Augen gneiss,45,0.5770988780386825,1.7368549047837274,0.334095962048787,0.5555022323555326,True
5,Augen gneiss,60,1.1472097727874344,2.0018668748366015,0.4015057857754903,1.1031811024163412,True
6,Augen gneiss,75,0.8056033168471642,1.4549163254551098,0.25911728673341516,0.6807058887783363,True
7,Augen gneiss,90,0.7661878361079695,1.691983158411711,0.245871392147397,0.6199102276547268,True
8,Psammitic schist,0,0.8344171570177373,1.4653274980948343,0.4824144267942569,1.6846807858624928,True
9,Psammitic schist,15,0.642740410981786,1.3741749685445632,0.7844354421697255,1.3983254089862842,False
10,Psammitic schist,30,1.7793969899091935,3.6664245232961,0.7977249912800212,1.3827565834624571,True
11,Psammitic schist,45,0.5672070164800959,1.2251734955819547,0.5645827728712105,1.0730435649059067,True
12,Psammitic schist,60,2.4882545378372667,5.26450661054261,0.24837482545009212,0.5004585146968185,True
13,Psammitic schist,75,0.8964354468873001,1.8510560677349048,0.26958504692985397,0.48231452452674783,True
14,Psammitic schist,90,0.7172016087377833,1.3950946898264494,0.0875740487632634,0.2514565610454084,True
