SN,Rock_type,Angle,Diameter_mm,Thickness_mm,H/D_ratio,Area_mm^2,Volume_mm^3,Bulk_Density,Porosity_percent,Density,Load_(KN),Tensile_strength_Mpa,Mass,Axial_strain,Lateral_strain,Modulus_of_Elasticity,Poisson_Ratio,Shear_Modulus,Radians,UCS_(Mpa),Cohesion,Friction_Angle
1,Augen gneiss,0,51,23,0.45,3685.09,46984.87,2.78,1.45,2.82,18.74,10.17,130.62,0.001258,0.0003327,32.97,0.26,14.03,0.00,41.46,15.22,37.89
2,Augen gneiss,0,51,24,0.47,3845.31,49027.69,2.84,0.93,2.87,20.51,10.67,139.24,0.001564,0.0004073,37.54,0.26,15.98,0.00,58.7,15.22,37.89
3,Augen gneiss,0,51,27,0.53,4325.97,55156.16,2.76,1.42,2.80,22.95,10.61,152.23,0.001589,0.0004096,38.57,0.26,16.41,0.00,61.3,15.22,37.89
4,Augen gneiss,0,51,22.5,0.44,3604.98,45963.46,2.88,0.8,2.90,19.67,10.91,132.37,0.001556,0.0004038,37.99,0.26,16.17,0.00,59.1,15.22,37.89
5,Augen gneiss,0,51,24.5,0.48,3925.42,50049.11,2.81,1.34,2.85,19.61,9.99,140.64,0.001524,0.0003925,37.28,0.26,15.86,0.00,56.8,15.22,37.89
6,Augen gneiss,15,51,20,0.39,3204.42,40856.41,2.73,1.71,2.78,17.19,10.73,111.54,0.001246,0.0003111,37.89,0.25,16.22,0.26,47.2,14.1,36.73
7,Augen gneiss,15,51,27,0.53,4325.97,55156.16,2.86,1.14,2.89,21.98,10.16,157.75,0.001360,0.0003544,36.26,0.26,15.52,0.26,49.32,14.1,36.73
8,Augen gneiss,15,51,23,0.45,3685.09,46984.87,2.79,1.2,2.82,17.89,9.71,131.09,0.001378,0.0003462,38.32,0.25,16.4,0.26,52.8,14.1,36.73
9,Augen gneiss,15,51,25,0.49,4005.53,51070.52,2.83,1.12,2.86,19.91,9.94,144.53,0.001342,0.0003422,37.1,0.25,15.88,0.26,49.8,14.1,36.73
10,Augen gneiss,15,51,21,0.41,3364.65,42899.23,2.91,0.58,2.93,16.13,9.59,124.84,0.001494,0.0003912,37.02,0.26,15.85,0.26,55.3,14.1,36.73
11,Augen gneiss,30,51,22,0.43,3524.87,44942.05,2.75,1.45,2.79,16.69,9.47,123.59,0.000961,0.0002323,38.69,0.24,16.76,0.52,37.17,11.31,33.06
12,Augen gneiss,30,51,20,0.39,3204.42,40856.41,2.82,1.2,2.85,16.20,10.11,115.22,0.000980,0.0002386,39.17,0.24,16.97,0.52,38.4,11.31,33.06
13,Augen gneiss,30,51,25,0.49,4005.53,51070.52,2.87,0.78,2.89,19.71,9.84,146.57,0.001055,0.0002622,38.95,0.25,16.87,0.52,41.1,11.31,33.06
14,Augen gneiss,30,51,27,0.53,4325.97,55156.16,2.80,1.19,2.83,20.79,9.61,154.44,0.001028,0.0002541,38.62,0.25,16.73,0.52,39.7,11.31,33.06
15,Augen gneiss,30,51,22,0.43,3524.87,44942.05,2.77,1.5,2.81,17.52,9.94,124.49,0.000937,0.0002267,38.62,0.24,16.74,0.52,36.2,11.31,33.06
16,Augen gneiss,45,51,22,0.43,3524.87,44942.05,2.85,1.07,2.88,15.97,9.06,128.08,0.001044,0.0002336,42.92,0.22,18.67,0.79,44.8,11.68,34.95
17,Augen gneiss,45,51,23,0.45,3685.09,46984.87,2.74,1.5,2.78,15.96,8.66,128.74,0.000820,0.0001931,35.7,0.24,15.53,0.79,29.27,11.68,34.95
18,Augen gneiss,45,51,23,0.45,3685.09,46984.87,2.89,0.88,2.92,17.01,9.23,135.79,0.001085,0.0002599,39.45,0.24,17.16,0.79,42.8,11.68,34.95
19,Augen gneiss,45,51,20,0.39,3204.42,40856.41,2.95,0.49,2.97,15.45,9.64,120.53,0.001307,0.0002952,48.52,0.23,21.1,0.79,63.4,11.68,34.95
20,Augen gneiss,60,51,21,0.41,3364.65,42899.23,2.78,1.22,2.81,13.37,7.95,119.26,0.001036,0.0002266,45.43,0.22,19.49,1.05,47.05,10.27,35.49
21,Augen gneiss,60,51,22,0.43,3524.87,44942.05,2.84,1.21,2.88,14.15,8.03,127.64,0.001080,0.0002411,45.01,0.22,19.31,1.05,48.6,10.27,35.49
22,Augen gneiss,60,51,21,0.41,3364.65,42899.23,2.72,1.77,2.77,13.04,7.75,116.69,0.001093,0.0002371,46.86,0.22,20.1,1.05,51.2,10.27,35.49
23,Augen gneiss,75,51,25,0.49,4005.53,51070.52,2.88,0.84,2.90,14.88,7.43,147.08,0.001238,0.0002541,52.24,0.21,21.86,1.31,64.67,15.66,36.54
24,Augen gneiss,75,51,23.5,0.46,3765.20,48006.28,2.81,1.13,2.84,15.40,8.18,134.9,0.001266,0.0002876,46.54,0.23,19.48,1.31,58.9,15.66,36.54
25,Augen gneiss,75,51,22,0.43,3524.87,44942.05,2.76,1.66,2.81,13.78,7.82,124.04,0.001229,0.0002602,50.55,0.21,21.16,1.31,62.1,15.66,36.54
26,Augen gneiss,75,51,25,0.49,4005.53,51070.52,2.93,0.59,2.95,14.20,7.09,149.64,0.001181,0.0002427,50.54,0.21,21.15,1.31,59.7,15.66,36.54
27,Augen gneiss,90,51,20,0.39,3204.42,40856.41,2.79,1.2,2.82,12.74,7.95,113.99,0.001190,0.0002436,51.63,0.20,21.33,1.57,61.45,16.86,36.76
28,Augen gneiss,90,51,21,0.41,3364.65,42899.23,2.86,0.85,2.89,13.34,7.93,122.69,0.001417,0.0003214,47.86,0.23,19.78,1.57,67.8,16.86,36.76
29,Augen gneiss,90,51,20,0.39,3204.42,40856.41,2.74,1.73,2.79,13.63,8.51,111.95,0.001331,0.0002784,53.48,0.21,22.1,1.57,71.2,16.86,36.76
30,Augen gneiss,90,51,20,0.39,3204.42,40856.41,2.82,1.24,2.86,12.19,7.61,115.22,0.001275,0.0002542,54.44,0.20,22.49,1.57,69.4,16.86,36.76
31,Psammitic schist,0,51,23,0.45,3685.09,46984.87,2.71,1.99,2.77,16.68,9.05,127.33,0.001297,0.0002709,31.09,0.21,6.42,0.00,40.32,11.94,28.09
32,Psammitic schist,0,51,22,0.43,3524.87,44942.05,2.76,1.58,2.80,18.17,10.31,124.04,0.001220,0.0002428,33.29,0.20,6.88,0.00,40.6,11.94,28.09
33,Psammitic schist,0,51,22,0.43,3524.87,44942.05,2.68,2.11,2.74,16.48,9.35,120.44,0.001203,0.0002309,33.76,0.19,6.98,0.00,40.6,11.94,28.09
34,Psammitic schist,15,51,21,0.41,3364.65,42899.23,2.73,1.91,2.78,15.48,9.2,117.11,0.001340,0.0002272,28.87,0.17,7.08,0.26,38.68,11.61,28.36
35,Psammitic schist,15,51,24,0.47,3845.31,49027.69,2.79,1.21,2.82,15.09,7.85,136.79,0.001517,0.0002627,28.93,0.17,7.09,0.26,43.9,11.61,28.36
36,Psammitic schist,15,51,23,0.45,3685.09,46984.87,2.70,1.97,2.75,15.22,8.26,126.86,0.001404,0.0002477,27.28,0.18,6.69,0.26,38.3,11.61,28.36
37,Psammitic schist,30,51,23,0.45,3685.09,46984.87,2.74,1.77,2.79,14.35,7.79,128.74,0.001174,0.0001606,21.02,0.14,7.13,0.52,24.68,9.08,23.78
38,Psammitic schist,30,51,23,0.45,3685.09,46984.87,2.82,1.08,2.85,15.83,8.59,132.5,0.001456,0.0001993,23.97,0.14,8.13,0.52,34.9,9.08,23.78
39,Psammitic schist,30,51,22,0.43,3524.87,44942.05,2.69,2.17,2.75,13.99,7.94,120.89,0.001127,0.0001480,21.74,0.13,7.39,0.52,24.5,9.08,23.78
40,Psammitic schist,45,51,23,0.45,3685.09,46984.87,2.77,1.44,2.81,13.38,7.26,130.15,0.001293,0.0001545,19.65,0.12,8.53,0.79,25.4,8.29,24.24
41,Psammitic schist,45,51,21,0.41,3364.65,42899.23,2.72,1.87,2.77,10.53,6.26,116.69,0.001311,0.0001526,19.68,0.12,8.57,0.79,25.8,8.29,24.24
42,Psammitic schist,45,51,21,0.41,3364.65,42899.23,2.66,2.32,2.72,11.88,7.06,114.11,0.001311,0.0001567,19.68,0.12,8.55,0.79,25.8,8.29,24.24
43,Psammitic schist,60,51,22,0.43,3524.87,44942.05,2.75,1.45,2.79,11.14,6.32,123.59,0.001735,0.0002117,21.2,0.12,10.09,1.05,36.79,9.24,27.81
44,Psammitic schist,60,51,23,0.45,3685.09,46984.87,2.80,1.1,2.83,10.54,5.72,131.56,0.001750,0.0002088,21.26,0.12,10.15,1.05,37.2,9.24,27.81
45,Psammitic schist,60,51,24,0.47,3845.31,49027.69,2.71,1.7,2.76,10.88,5.66,132.87,0.001847,0.0002414,19.76,0.13,9.32,1.05,36.5,9.24,27.81
46,Psammitic schist,75,51,24,0.47,3845.31,49027.69,2.78,1.23,2.82,8.11,4.22,136.3,0.001637,0.0002662,22.72,0.16,10.14,1.31,37.19,12.15,31.46
47,Psammitic schist,75,51,21,0.41,3364.65,42899.23,2.67,2.01,2.73,6.48,3.85,114.54,0.001523,0.0002004,26.67,0.13,12.26,1.31,40.61,12.15,31.46
48,Psammitic schist,75,51,22,0.43,3524.87,44942.05,2.73,1.63,2.78,4.83,2.74,122.69,0.001636,0.0002342,23.85,0.14,10.84,1.31,39.03,12.15,31.46
49,Psammitic schist,75,51,21,0.41,3364.65,42899.23,2.85,0.85,2.87,5.15,3.06,122.26,0.001691,0.0002437,24.59,0.14,11.17,1.31,41.58,12.15,31.46
50,Psammitic schist,90,51,24,0.47,3845.31,49027.69,2.76,1.43,2.80,9.67,5.03,135.32,0.001564,0.0002426,27.61,0.16,11.95,1.57,43.19,12.52,30.32
51,Psammitic schist,90,51,22,0.43,3524.87,44942.05,2.69,1.97,2.74,8.12,4.61,120.89,0.001646,0.0002675,26.36,0.16,11.34,1.57,43.4,12.52,30.32
52,Psammitic schist,90,51,22,0.43,3524.87,44942.05,2.74,1.52,2.78,9.46,5.37,123.14,0.001609,0.0002615,26.97,0.16,11.6,1.57,43.4,12.52,30.32
