order,x_m,y_m
0,0.00011408450704224936,-0.024781690140845063
1,0.0004309859154929547,-0.02406338028169014
2,0.000591874322860236,-0.02334507042253521
3,0.0006081256771397596,-0.022626760563380283
4,0.0004911159263271919,-0.021908450704225355
5,0.0002522210184181992,-0.021190140845070427
6,-9.718309859155135e-05,-0.0204718309859155
7,-0.0005457204767063971,-0.019753521126760685
8,-0.001064463705308784,-0.019035211267605753
9,-0.0016787648970747681,-0.01831690140845082
10,-0.0024230769230769392,-0.017598591549295883
11,-0.0032323943661972045,-0.01688028169014095
12,-0.00404171180931747,-0.016161971830986013
13,-0.00478602383531964,-0.015443661971831082
14,-0.0054003250270856255,-0.014725352112676149
15,-0.005919068255688013,-0.014007042253521215
16,-0.0063325027085590875,-0.01328873239436628
17,-0.006637378114842946,-0.012570422535211345
18,-0.006836944745395495,-0.011852112676056412
19,-0.0069916576381365576,-0.011133802816901479
20,-0.007075514626218898,-0.010415492957746544
21,-0.007075514626218898,-0.00969718309859161
22,-0.0069916576381365576,-0.008978873239436677
23,-0.006836944745395495,-0.008260563380281742
24,-0.006637378114842946,-0.007542253521126809
25,-0.0063325027085590875,-0.006823943661971875
26,-0.005919068255688013,-0.006105633802816941
27,-0.0054003250270856255,-0.0053873239436620065
28,-0.00478602383531964,-0.004669014084507072
29,-0.004092416034669582,-0.003950704225352138
30,-0.0033422535211267827,-0.0032323943661972045
31,-0.002564788732394383,-0.0025140845070422703
32,-0.0017957746478873366,-0.0017957746478873366
33,-0.0010774647887324027,-0.0010774647887324027
34,-0.0003591549295774684,-0.0003591549295774684
35,0.00035915492957746533,0.00035915492957746533
36,0.0010774647887323993,0.0010774647887323993
37,0.0017957746478873334,0.0017957746478873334
38,0.0025140845070422677,0.0025140845070422677
39,0.0032830985915493147,0.003232394366197202
40,0.004060563380281715,0.0039507042253521365
41,0.004810725893824514,0.00466901408450707
42,0.005504333694474573,0.005387323943662004
43,0.006118634886240556,0.006105633802816937
44,0.006637378114842943,0.006823943661971871
45,0.007050812567714017,0.007542253521126805
46,0.007355687973997877,0.008260563380281739
47,0.007555254604550424,0.008978873239436674
48,0.007659263271939373,0.009697183098591607
49,0.007683965330444248,0.010415492957746542
50,0.007652112676056383,0.011133802816901473
51,0.007592957746478918,0.011852112676056408
52,0.0075422535211268045,0.012570422535211343
53,0.0075422535211268045,0.013288732394366278
54,0.0075422535211268045,0.01400704225352121
55,0.0075422535211268045,0.014725352112676145
56,0.0075422535211268045,0.015443661971831078
57,0.0075422535211268045,0.016161971830986013
58,0.0075422535211268045,0.01688028169014095
59,0.0075422535211268045,0.01759859154929588
60,0.007592957746478918,0.018316901408450815
61,0.007652112676056383,0.01903521126760575
62,0.007683965330444248,0.01975352112676068
63,0.007692207088685961,0.020471830985915495
64,0.007630645410927101,0.021190140845070427
65,0.007475444977557654,0.021908450704225355
66,0.007202770468967653,0.02262676056338029
67,0.006788786565547131,0.023345070422535218
68,0.006209657947686118,0.024063380281690153
69,0.00544154929577465,0.024781690140845084
