SN,Rock_type,Angle,Diameter_mm,Thickness_mm,H/D_ratio,Area_mm^2,Volume_mm^3,Bulk_Density,Porosity_percent,Density,Load_(KN),Tensile_strength_Mpa,Mass,Axial_strain,Lateral_strain,Modulus_of_Elasticity,Poisson_Ratio,Shear_Modulus,Radians,UCS_(Mpa),Cohesion,Friction_Angle
1,Augen gneiss,0,51.0,24.2,0.47400000000000003,3877.3540000000003,49436.258,2.814,1.188,2.848,20.296,10.47,139.02,0.0014982,0.00038918,36.87,0.26,15.690000000000001,0.0,55.472,15.220000000000002,37.89
2,Augen gneiss,15,51.0,23.2,0.454,3717.132,47393.438,2.8240000000000003,1.15,2.856,18.619999999999997,10.026,133.95,0.0013640000000000002,0.00034902,37.318,0.254,15.974,0.26,50.884,14.1,36.73
3,Augen gneiss,30,51.0,23.2,0.454,3717.132,47393.438,2.802,1.224,2.834,18.182,9.794,132.862,0.0009922,0.00024278,38.81,0.244,16.814,0.52,38.513999999999996,11.31,33.06
4,Augen gneiss,45,51.0,22.0,0.43,3524.8675000000003,44942.05,2.8575,0.985,2.8875,16.0975,9.1475,128.285,0.001064,0.00024545000000000003,41.6475,0.23249999999999998,18.115000000000002,0.79,45.067499999999995,11.68,34.95
5,Augen gneiss,60,51.0,21.333333333333332,0.4166666666666667,3418.056666666667,43580.170000000006,2.78,1.4000000000000001,2.8200000000000003,13.520000000000001,7.909999999999999,121.19666666666667,0.0010696666666666667,0.00023493333333333334,45.76666666666667,0.22,19.633333333333333,1.05,48.949999999999996,10.27,35.49
6,Augen gneiss,75,51.0,23.875,0.4675,3825.2825000000003,48772.3425,2.8449999999999998,1.055,2.875,14.565,7.63,138.91500000000002,0.0012285,0.00026115,49.9675,0.215,20.9125,1.31,61.3425,15.66,36.54
7,Augen gneiss,90,51.0,20.25,0.395,3244.4775,41367.115000000005,2.8025,1.255,2.84,12.975,8.0,115.9625,0.0013032500000000002,0.0002744,51.8525,0.21000000000000002,21.425,1.57,67.4625,16.86,36.76
8,Psammitic schist,0,51.0,22.333333333333332,0.4366666666666667,3578.2766666666666,45622.99,2.716666666666667,1.8933333333333333,2.77,17.11,9.57,123.93666666666667,0.00124,0.0002482,32.71333333333333,0.19999999999999998,6.760000000000001,0.0,40.50666666666667,11.94,28.09
9,Psammitic schist,15,51.0,22.666666666666668,0.44333333333333336,3631.683333333333,46303.93,2.74,1.6966666666666665,2.783333333333333,15.263333333333334,8.436666666666666,126.92,0.0014203333333333333,0.00024586666666666666,28.36,0.17333333333333334,6.953333333333333,0.26,40.29333333333333,11.61,28.36
10,Psammitic schist,30,51.0,22.666666666666668,0.44333333333333336,3631.683333333333,46303.93,2.75,1.6733333333333331,2.796666666666667,14.723333333333334,8.106666666666667,127.37666666666667,0.0012523333333333334,0.00016929999999999997,22.24333333333333,0.1366666666666667,7.55,0.52,28.026666666666667,9.08,23.78
11,Psammitic schist,45,51.0,21.666666666666668,0.42333333333333334,3471.463333333333,44261.11000000001,2.716666666666667,1.8766666666666667,2.766666666666667,11.93,6.859999999999999,120.31666666666666,0.001305,0.0001546,19.669999999999998,0.12,8.549999999999999,0.79,25.666666666666668,8.29,24.24
12,Psammitic schist,60,51.0,23.0,0.45,3685.09,46984.87,2.7533333333333334,1.4166666666666667,2.793333333333333,10.853333333333333,5.8999999999999995,129.34,0.0017773333333333332,0.00022063333333333332,20.74,0.12333333333333334,9.853333333333333,1.05,36.830000000000005,9.24,27.81
13,Psammitic schist,75,51.0,22.0,0.43,3524.87,44942.05,2.7575,1.43,2.8,6.1425,3.4675000000000002,123.9475,0.00162175,0.000236125,24.4575,0.14250000000000002,11.1025,1.31,39.6025,12.15,31.46
14,Psammitic schist,90,51.0,22.666666666666668,0.44333333333333336,3631.683333333333,46303.93,2.73,1.64,2.7733333333333334,9.083333333333334,5.003333333333334,126.45,0.0016063333333333335,0.0002572,26.98,0.16,11.63,1.57,43.330000000000005,12.520000000000001,30.320000000000004
